"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Mein Geschlecht...";"2. Mein Lebensalter in Jahren ist...";"3. Das Bundesland in dem ich Prüfungen durchführe ist...";"Baden-Württemberg";"Bayern";"Berlin";"Brandenburg";"Bremen";"Hamburg";"Hessen";"Mecklenburg-Vorpommern";"Niedersachsen";"Nordrhein-Westfalen";"Rheinland-Pfalz";"Saarland";"Sachsen";"Sachsen-Anhalt";"Schleswig-Holstein";"Thüringen";"4. Meine Beschäftigungszeit als Prüfer/in beträgt...";"5. Mein Beschäftigungsverhältnis ist...";"Angestellte/r in der Verwaltung";"Beamte/r in der Verwaltung";"Angestellte/r in einer Rettungsdienstschule";"Honorarkraft";"Textfeld";"6. Meine höchste medizinische Qualifikation ist...";"keine medizinische Qualifikation";"Rettungsassistent/in";"Notfallsanitäter/in";"(Not-) ärztliche Qualifiaktion";"Textfeld";"7. Meine höchste pädagogische Qualifikation ist...";"keine pädagogische Qualifikation";"Lehrrettungsassistent/in";"Praxisanleitende Notfallsanitäter/in";"Bildungswissenschaftler/in, Pädagoge/in, Erziehungswissenschaftler/in";"Textfeld";"8. Meine Tätigkeit als Prüfer/in beträgt...";"9. Die Anzahl meiner Prüfungen ist...";"Ergänzungsprüfungen";"Vollprüfungen";"10. Ich bin als Vorsitz einer Prüfungskommission eingesetzt...";"11. Die Ergänzungsprüfung empfinde ich als...";"12. Den Schwierigkeitsgrad der Ergänzungsprüfungen empfinde ich als...";"13. Den zeitlichen Rahmen der Ergänzungsprüfungen empfinde ich als...";"14. Die inhaltliche Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"15. Die methodische Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"16. Meine Anmerkungen zur Vorbereitung und Durchführung der Ergänzungsprüfungen...";"17. Die Vollprüfungen empfinde ich als...";"18. Den Schwierigkeitsgrad der Vollprüfungen empfinde ich als...";"19. Den zeitlichen Rahmen der Vollprüfungen empfinde ich als...";"20. Die inhaltliche Vorbereitung auf die Vollprüfungen empfinde ich als...";"21. Die methodische Vorbereitung auf die Vollprüfungen empfinde ich als...";"22. Meine Anmerkungen zur Vorbereitung und Durchführung der Vollprüfung...";"23. Nicht bestanden wurden die Ergänzungsprüfungen in den Prüfungsteilen...";"Mündliche Prüfung";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"24. Nicht bestanden wurden die Vollprüfungen in den Prüfungsteilen...";"Schriftliche Prüfung Teil 1";"Schriftliche Prüfung Teil 2";"Schriftliche Prüfung Teil 3";"Mündliche Prüfung";"Praktische Prüfung Teil Reanimation";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"Praktische Prüfung Teil sonstige Notfälle";"25. Welche Gründe haben Ihrer Meinung nach zum Nichtbestehen von Prüfungen geführt?";"26. Nach absolvierter Prüfung erlebe ich die/der/das...";"Fachwissen";"Gewichtung";"Struktur";"Gewichtung";"Verantwortung";"Gewichtung";"Können";"Gewichtung";"Pflichtgefühl";"Gewichtung";"Sorgfalt";"Gewichtung";"Ansehen";"Gewichtung";"Ich verstehe die Frage nicht. Als Lehrender oder als NotSan?";"Gewichtung";"T";"Gewichtung";"Keine";"Gewichtung";"Fühlen sich teilweise zu sicher";"Gewichtung";"Arroganz";"Gewichtung";"Kritikfähigkeit";"Gewichtung";"/";"Gewichtung";
"88395887";"tfgrezi";"15.11.2021 18:15";"15.11.2021 18:15";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88396381";"ebqcyky";"15.11.2021 18:27";"15.11.2021 18:30";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"1";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 10 und weniger als 15 Jahren";"";"35";"15";"ja";"50";"50";"80";"80";"50";"";"30";"100";"50";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88396689";"hhiri3k";"15.11.2021 18:37";"15.11.2021 18:54";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Diplom Medizinpädagoge";"zwischen 10 und weniger als 15 Jahren";"";"10";"9";"nein";"100";"80";"20";"30";"20";"";"20";"80";"20";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88396779";"ghjhdup";"15.11.2021 18:39";"15.11.2021 18:40";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88397172";"9mbpgqm";"15.11.2021 18:48";"15.11.2021 18:52";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 1 und weniger als 5 Jahren";"";"3";"6";"nein";"10";"30";"10";"40";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88397287";"muayuex";"15.11.2021 18:52";"15.11.2021 19:00";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"1";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Lehrer für Gesundheitsfachberufe";"zwischen 10 und weniger als 15 Jahren";"";"15";"3";"nein";"70";"90";"10";"100";"100";"SIe wird den geforderten Prüfungsinhalten nicht gerecht. Der Schwerpunkt wird zu sehr auf Medizin gelegt. Recht, Kommunikation gehen nehmen in den EPs einen hohen Stellenwert ein. Dementsprechend wird auch viel Zeit in den Vorbnereitungskursen darauf verwendet. Allerdings benötigen die TN einen Paradigmenwechsel (eine Art Brainwashkurs) und viel mehr spezielle Notfallmedizin. Es werden NotSan mit viel Halbwissen und wenig Rechtssicherheit auf die Straßen geschickt, was nicht an der Rechtslage liegt.";"10";"60";"10";"0";"0";"In 3 Jahren sollte eine Lehrkraft die SuS auf die Vollprüfung vorbereiten können. Problematisch finde ich die Ausbildungen auf den Wachen. Dort wird häufig nicht zielgerichtet ausgebildet.";"";"1";"1";"1";"";"";"";"";"1";"1";"1";"1";"1";"Individuelle Schwächen der einzelnen SuS.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"100%";"";"";"";"";"";"";"";"";"";"";"";"";
"88397319";"4bbjnrz";"15.11.2021 18:52";"15.11.2021 18:56";"teilgenommen und beendet";"weiblich";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"1";"";"";"";"";"zwischen 5 und weniger als 10 Jahren";"";"30";"15";"ja";"20";"60";"10";"70";"40";"";"20";"60";"0";"30";"30";"";"";"1";"1";"1";"";"1";"1";"1";"1";"1";"1";"1";"1";"";"";"1";"";"1";"";"2";"";"1";"";"1";"";"1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88397472";"p4v37gg";"15.11.2021 18:56";"15.11.2021 19:07";"teilgenommen und beendet";"männlich";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 20 und weniger als 25 Jahren";"";"12";"4";"nein";"10";"0";"30";"10";"10";"M.E. fehlt eine schriftliche Prüfung bzw. ein angemessener Nachweis medizinischer und pharmakologischer Kenntnisse. Ich bemerke bei ergänzend Geprüften im Anschluss an die Prüfung ein sorgloses Verhalten und fehlendes Verantwortungsbewusstsein für kritische Patienten bzw Wirkung von Medikamenten. Das Gefühl, keinen Notarzt mehr zu benötigen ist weit verbreitet";"20";"70";"10";"20";"10";"";"";"1";"1";"1";"";"";"";"";"";"";"1";"1";"";"Bei einigen Prüflingen eine gewisse Sorglosigkeit in der Vorbereitung , Bei anderen übermäßige Nervosität";"";"2";"67%";"2";"100%";"2";"100%";"2";"100%";"3";"33%";"3";"67%";"3";"0%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88397476";"a9pwsiz";"15.11.2021 18:56";"15.11.2021 18:58";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"";"";"Beamter";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 1 und weniger als 5 Jahren";"";"6";"4";"ja";"0";"20";"0";"100";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88398149";"mpybi4w";"15.11.2021 19:16";"15.11.2021 19:19";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"";"1";"";"";"";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 1 und weniger als 5 Jahren";"";"5";"15";"nein";"20";"20";"70";"30";"60";"";"10";"30";"0";"20";"20";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"67%";"3";"67%";"3";"67%";"3";"67%";"3";"67%";"3";"67%";"3";"67%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88398166";"43qctxg";"15.11.2021 19:18";"15.11.2021 19:21";"teilgenommen und beendet";"";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 30 und weniger als 35 Jahren";"";"35";"39";"nein";"10";"30";"70";"70";"80";"";"80";"40";"30";"30";"30";"";"";"1";"1";"1";"";"1";"";"1";"1";"1";"1";"1";"1";"";"";"2";"100%";"2";"67%";"2";"67%";"2";"100%";"3";"67%";"3";"67%";"3";"33%";"";"";"3";"67%";"";"";"";"";"";"";"";"";"";"";
"88398168";"gypptks";"15.11.2021 19:17";"15.11.2021 19:18";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88398480";"htjrnbt";"15.11.2021 19:26";"15.11.2021 19:39";"teilgenommen und beendet";"weiblich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"1";"1";"";"zwischen 1 und weniger als 5 Jahren";"";"6";"5";"nein";"40";"80";"30";"40";"40";"Diese Fragen sind undeutlich. Durch die unterschiedlichen Vorbereitungslehrgänge (960Std., 480Std, 80Std...etc.) können Fragen zu inhaltlicher/methodischer Vorbereitung nicht eindeutig beantwortet werden! Auch ist die Schwierigkeit abhängig vom Vorbereigungsumfang...";"30";"70";"50";"40";"40";"Zuvor angemerkte Punkte gelte ebenfalls für die Vollprüfung.";"";"1";"1";"1";"";"";"";"1";"1";"1";"1";"1";"1";"Auch diese Fragen sind undeutlich gestellt. Meinen Sie lediglich den von mir geprüften Teil oder in der gesamten Prüfung? Generell ist in fast jeden Prüfungsteil schonmal jemand durchgefallen...";"";"2";"67%";"3";"33%";"3";"33%";"3";"33%";"2";"67%";"2";"67%";"3";"33%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88399455";"htdwprh";"15.11.2021 20:00";"15.11.2021 20:00";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88399900";"wmj4cfz";"15.11.2021 20:16";"15.11.2021 20:16";"teilgenommen, aber noch nicht beendet";"";"zwischen 21 und 30";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88400137";"9fhnira";"15.11.2021 20:24";"15.11.2021 20:31";"teilgenommen und beendet";"weiblich";"zwischen 31 und 40";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"weniger als 1 Jahr";"";"0";"1";"nein";"20";"50";"50";"80";"80";"";"20";"50";"50";"30";"20";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"Ungenügendes Theorie-Praxis-Trasferwissen";"";"3";"";"3";"67%";"2";"67%";"3";"";"2";"67%";"3";"";"2";"67%";"";"";"";"";"3";"33%";"";"";"";"";"";"";"";"";
"88400264";"z9axfkn";"15.11.2021 20:30";"15.11.2021 20:35";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"";"1";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 5 und weniger als 10 Jahren";"";"30";"4";"nein";"0";"70";"0";"60";"0";"";"0";"80";"10";"0";"0";"";"";"1";"1";"1";"";"";"1";"";"1";"1";"1";"1";"";"Unsicherheit und Selbstüberschätzung";"";"1";"100%";"1";"100%";"3";"67%";"1";"100%";"3";"100%";"2";"67%";"3";"100%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88400398";"ane3bj4";"15.11.2021 20:33";"15.11.2021 20:36";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"weniger als 1 Jahr";"";"0";"1";"nein";"0";"50";"30";"20";"30";"";"0";"50";"50";"0";"20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
