"Wie zeitnah und hilfreich ist das Feedback, das Sie im LMS erhalten?"" (n = 31)";"Description";"Rating";"Count";"%"
"";"sehr unzeitnah/unhilfreich";"1";"0";"0"
"";"";"2";"12";"38.71"
"";"";"3";"9";"29.03"
"";"";"4";"9";"29.03"
"";"sehr zeitnah/hilfreich";"5";"1";"3.23"
"";"";"";"";""
"";"Average";"2.97";"";""
"";"Standard Deviation";"0.9";"";""
"";"";"";"";""
"Inwiefern unterstützen die Bewertungssysteme im LMS Ihr Verständnis über Ihren Lernfortschritt? (n = 31)";"Description";"Rating";"Count";"%"
"";"unterstützen gar nicht";"1";"2";"6.45"
"";"";"2";"9";"29.03"
"";"";"3";"10";"32.26"
"";"";"4";"8";"25.81"
"";"unterstützen sehr stark";"5";"2";"6.45"
"";"";"";"";""
"";"Average";"2.97";"";""
"";"Standard Deviation";"1.03";"";""
"";"";"";"";""
"Welche Rolle spielen Selbstbewertungstools im LMS für Ihre Selbsteinschätzung? (n = 31)";"Description";"Rating";"Count";"%"
"";"spielen keine Rolle";"1";"2";"6.45"
"";"";"2";"8";"25.81"
"";"";"3";"10";"32.26"
"";"";"4";"9";"29.03"
"";"spielen sehr wichtige Rolle";"5";"2";"6.45"
"";"";"";"";""
"";"Average";"3.03";"";""
"";"Standard Deviation";"1.03";"";""
"";"";"";"";""
"Wie passt sich das LMS an Ihre individuellen Lernbedürfnisse an?"" (n = 31)";"Description";"Rating";"Count";"%"
"";" passt sich gar nicht an";"1";"3";"9.68"
"";"";"2";"7";"22.58"
"";"";"3";"14";"45.16"
"";"";"4";"6";"19.35"
"";" passt sich sehr gut an";"5";"1";"3.23"
"";"";"";"";""
"";"Average";"2.84";"";""
"";"Standard Deviation";"0.95";"";""
"";"";"";"";""
"Gibt es Möglichkeiten im LMS, Lerninhalte nach Ihren Interessen und Stärken zu personalisieren?"" (n = 31)";"Answer";"Count";"%";"Value"
"";"Ja";"23";"74.19";"1"
"";"Nein";"8";"25.81";"2"
"";"";"";"";""
"";"Average";"";"";"1.26"
"";"Standard Deviation";"";"";"0.44"
"";"";"";"";""
"Wie bewerten Sie die Flexibilität des LMS in Bezug auf individuelle Lernbedürfnisse?""
 (n = 31)";"Description";"Rating";"Count";"%"
"";"sehr unflexibel";"1";"0";"0"
"";"";"2";"7";"22.58"
"";"";"3";"14";"45.16"
"";"";"4";"8";"25.81"
"";"sehr flexibel";"5";"2";"6.45"
"";"";"";"";""
"";"Average";"3.16";"";""
"";"Standard Deviation";"0.85";"";""
"";"";"";"";""
"Wie einfach ist es, auf verschiedene Ressourcen im LMS zuzugreifen? (n = 31)";"Description";"Rating";"Count";"%"
"";"sehr schwer";"1";"0";"0"
"";"";"2";"8";"25.81"
"";"";"3";"9";"29.03"
"";"";"4";"8";"25.81"
"";"sehr leicht";"5";"6";"19.35"
"";"";"";"";""
"";"Average";"3.39";"";""
"";"Standard Deviation";"1.07";"";""
"";"";"";"";""
"Wie nahtlos integriert das LMS externe Lernmaterialien oder -werkzeuge? (n = 31)";"Description";"Rating";"Count";"%"
"";"sehr schlechte Integration";"1";"0";"0"
"";"";"2";"11";"35.48"
"";"";"3";"11";"35.48"
"";"";"4";"8";"25.81"
"";"sehr gute Integration";"5";"1";"3.23"
"";"";"";"";""
"";"Average";"2.97";"";""
"";"Standard Deviation";"0.86";"";""
"";"";"";"";""
"Wie bewerten Sie die Barrierefreiheit und Zugänglichkeit des LMS für alle Lernenden. (n = 31)";"Description";"Rating";"Count";"%"
"";"sehr schlecht";"1";"1";"3.23"
"";"";"2";"5";"16.13"
"";"";"3";"11";"35.48"
"";"";"4";"9";"29.03"
"";"sehr gut";"5";"5";"16.13"
"";"";"";"";""
"";"Average";"3.39";"";""
"";"Standard Deviation";"1.04";"";""
