"Ich bin mit der Teilnahme am 5DCR-Test einverstanden. (n = 14)";"Answer";"Count";"%";"Value";""
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft zu";"8";"57.14";"6"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft voll und ganz zu";"2";"14.29";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.71"
"";"";"Standard Deviation";"";"";"0.96"
"";"";"";"";"";""
"Wie stark beeinträchtigt es Sie, keine Lösungen für Probleme zu finden? (n = 14)";"Row";"Answer";"Count";"%";"Value"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft gar nicht zu";"0";"0";"1"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft nicht zu";"1";"7.14";"2"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"triff eher nicht zu";"1";"7.14";"3"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"weder noch";"1";"7.14";"4"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft eher zu";"6";"42.86";"5"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft zu";"5";"35.71";"6"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.93"
"";"";"Standard Deviation";"";"";"1.16"
"";"";"";"";"";""
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft nicht zu";"0";"0";"2"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"triff eher nicht zu";"4";"28.57";"3"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"weder noch";"3";"21.43";"4"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft eher zu";"4";"28.57";"5"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft zu";"3";"21.43";"6"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.43"
"";"";"Standard Deviation";"";"";"1.12"
"";"";"";"";"";""
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft gar nicht zu";"0";"0";"1"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft nicht zu";"0";"0";"2"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"triff eher nicht zu";"1";"7.14";"3"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"weder noch";"3";"21.43";"4"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft eher zu";"7";"50";"5"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft zu";"1";"7.14";"6"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft voll und ganz zu";"2";"14.29";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5"
"";"";"Standard Deviation";"";"";"1.07"
"";"";"";"";"";""
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft nicht zu";"0";"0";"2"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"triff eher nicht zu";"2";"14.29";"3"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"weder noch";"4";"28.57";"4"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft eher zu";"3";"21.43";"5"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft zu";"4";"28.57";"6"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft voll und ganz zu";"1";"7.14";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.86"
"";"";"Standard Deviation";"";"";"1.19"
"";"";"";"";"";""
"Wie gut können Sie mit stressigen und ungewissen Situationen umgehen? (n = 14)";"Row";"Answer";"Count";"%";"Value"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft gar nicht zu";"2";"14.29";"1"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft nicht zu";"5";"35.71";"2"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"triff eher nicht zu";"5";"35.71";"3"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"weder noch";"0";"0";"4"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft eher zu";"2";"14.29";"5"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft zu";"0";"0";"6"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"2.64"
"";"";"Standard Deviation";"";"";"1.17"
"";"";"";"";"";""
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft gar nicht zu";"2";"14.29";"1"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft nicht zu";"9";"64.29";"2"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"triff eher nicht zu";"3";"21.43";"3"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"weder noch";"0";"0";"4"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft eher zu";"0";"0";"5"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft zu";"0";"0";"6"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"2.07"
"";"";"Standard Deviation";"";"";"0.59"
"";"";"";"";"";""
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft gar nicht zu";"2";"14.29";"1"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft nicht zu";"5";"35.71";"2"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"triff eher nicht zu";"5";"35.71";"3"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"weder noch";"1";"7.14";"4"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft eher zu";"0";"0";"5"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft zu";"1";"7.14";"6"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"2.64"
"";"";"Standard Deviation";"";"";"1.23"
"";"";"";"";"";""
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft gar nicht zu";"1";"7.14";"1"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft nicht zu";"5";"35.71";"2"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"triff eher nicht zu";"6";"42.86";"3"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"weder noch";"1";"7.14";"4"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft eher zu";"0";"0";"5"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft zu";"0";"0";"6"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft voll und ganz zu";"1";"7.14";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"2.86"
"";"";"Standard Deviation";"";"";"1.36"
"";"";"";"";"";""
"Wie neugierig sind Sie darauf, allgemeine Informationen über andere Menschen zu erfahren? (n = 14)";"Row";"Answer";"Count";"%";"Value"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft nicht zu";"0";"0";"2"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"triff eher nicht zu";"0";"0";"3"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"weder noch";"1";"7.14";"4"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft eher zu";"7";"50";"5"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft zu";"4";"28.57";"6"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft voll und ganz zu";"2";"14.29";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.5"
"";"";"Standard Deviation";"";"";"0.82"
"";"";"";"";"";""
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft nicht zu";"0";"0";"2"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"triff eher nicht zu";"0";"0";"3"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"weder noch";"2";"14.29";"4"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft eher zu";"9";"64.29";"5"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft zu";"3";"21.43";"6"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.07"
"";"";"Standard Deviation";"";"";"0.59"
"";"";"";"";"";""
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft gar nicht zu";"0";"0";"1"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft nicht zu";"1";"7.14";"2"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"triff eher nicht zu";"1";"7.14";"3"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"weder noch";"2";"14.29";"4"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft eher zu";"7";"50";"5"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft zu";"3";"21.43";"6"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.71"
"";"";"Standard Deviation";"";"";"1.1"
"";"";"";"";"";""
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft gar nicht zu";"0";"0";"1"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft nicht zu";"2";"14.29";"2"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"triff eher nicht zu";"2";"14.29";"3"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"weder noch";"3";"21.43";"4"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft eher zu";"4";"28.57";"5"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft zu";"3";"21.43";"6"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.29"
"";"";"Standard Deviation";"";"";"1.33"
"";"";"";"";"";""
"Wie sehr interessiert es Sie, spezifische und persönliche Informationen über andere Menschen zu erfahren? (n = 14)";"Row";"Answer";"Count";"%";"Value"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft gar nicht zu";"1";"7.14";"1"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft nicht zu";"1";"7.14";"2"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"triff eher nicht zu";"0";"0";"3"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"weder noch";"3";"21.43";"4"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft eher zu";"6";"42.86";"5"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft zu";"1";"7.14";"6"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft voll und ganz zu";"2";"14.29";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.64"
"";"";"Standard Deviation";"";"";"1.59"
"";"";"";"";"";""
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft gar nicht zu";"1";"7.14";"1"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft nicht zu";"1";"7.14";"2"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"triff eher nicht zu";"2";"14.29";"3"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"weder noch";"3";"21.43";"4"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft eher zu";"3";"21.43";"5"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft zu";"3";"21.43";"6"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft voll und ganz zu";"1";"7.14";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.36"
"";"";"Standard Deviation";"";"";"1.63"
"";"";"";"";"";""
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft gar nicht zu";"0";"0";"1"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft nicht zu";"0";"0";"2"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"triff eher nicht zu";"2";"14.29";"3"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"weder noch";"1";"7.14";"4"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft eher zu";"6";"42.86";"5"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft zu";"3";"21.43";"6"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft voll und ganz zu";"2";"14.29";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.14"
"";"";"Standard Deviation";"";"";"1.19"
"";"";"";"";"";""
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft nicht zu";"5";"35.71";"2"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"triff eher nicht zu";"2";"14.29";"3"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"weder noch";"5";"35.71";"4"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft eher zu";"1";"7.14";"5"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft zu";"1";"7.14";"6"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"3.36"
"";"";"Standard Deviation";"";"";"1.23"
"";"";"";"";"";""
"Wie sehr suchen Sie nach aufregenden und riskanten Erlebnissen? (n = 14)";"Row";"Answer";"Count";"%";"Value"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft gar nicht zu";"2";"14.29";"1"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft nicht zu";"2";"14.29";"2"
"";"Ich finde es aufregend, Risiken einzugehen.";"triff eher nicht zu";"0";"0";"3"
"";"Ich finde es aufregend, Risiken einzugehen.";"weder noch";"5";"35.71";"4"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft eher zu";"4";"28.57";"5"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft zu";"1";"7.14";"6"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"3.71"
"";"";"Standard Deviation";"";"";"1.53"
"";"";"";"";"";""
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft gar nicht zu";"1";"7.14";"1"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft nicht zu";"0";"0";"2"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"triff eher nicht zu";"2";"14.29";"3"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"weder noch";"6";"42.86";"4"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft eher zu";"4";"28.57";"5"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft zu";"1";"7.14";"6"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.07"
"";"";"Standard Deviation";"";"";"1.16"
"";"";"";"";"";""
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft gar nicht zu";"0";"0";"1"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft nicht zu";"1";"7.14";"2"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"triff eher nicht zu";"4";"28.57";"3"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"weder noch";"4";"28.57";"4"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft eher zu";"3";"21.43";"5"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft zu";"1";"7.14";"6"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft voll und ganz zu";"1";"7.14";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.14"
"";"";"Standard Deviation";"";"";"1.3"
"";"";"";"";"";""
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft gar nicht zu";"2";"14.29";"1"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft nicht zu";"3";"21.43";"2"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"triff eher nicht zu";"3";"21.43";"3"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"weder noch";"4";"28.57";"4"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft eher zu";"2";"14.29";"5"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft zu";"0";"0";"6"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"3.07"
"";"";"Standard Deviation";"";"";"1.28"
