"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Mein Geschlecht definiere ich als";"2. Mein Lebensalter in Jahren ist...";"3. Das Bundesland, in dem ich Standard-Arbeitsanweisungen oder Muster-Algorithmen durchführe ist...";"Baden-Württemberg";"Bayern";"Berlin";"Brandenburg";"Bremen";"Hamburg";"Hessen";"Mecklenburg-Vorpommern";"Niedersachsen";"Nordrhein-Westfalen";"Rheinland-Pfalz";"Saarland";"Sachsen";"Sachsen-Anhalt";"Schleswig-Holstein";"Thüringen";"4. Meine rettungsdienstliche Beschäftigung beträgt...";"5. Meine rettungsdienstliche Tätigkeit beträgt...";"6. Ich gehöre zu einer der folgenden Berufsgruppen:";"7. In der Regel werden im bundesdeutschen Rettungsdienst Standard-Arbeitsanweisungen bzw. Muster-Algorithmen beschrieben und zur Anwendung vorgegeben.  Wie sehr setzten Sie diese genau so (1:1) in realen Einsatzsituationen um?";"8. In welchen Einsatzsituationen konnten Sie die Standard-Arbeitsanweisungen bzw. Muster-Algorithmen nicht genau so (1:1) umsetzen?";"9. Was denken Sie?  Welche Faktoren waren für die Umsetzung der Standard-Arbeitsanweisungen bzw. Muster-Algorithmen in realen Einsatzsituationen eher hinderlich?";"10. In welchen Einsatzsituationen konnten Sie die Standard-Arbeitsanweisungen bzw. Muster-Algorithmen genau so (1:1) umsetzen?";"11. Was denken Sie?  Welche Faktoren waren für die Umsetzung der Standard-Arbeitsanweisungen bzw. Muster-Algorithmen in realen Einsatzsituationen eher hilfreich?";"12. Was ist Ihnen in Bezug zu der Umsetzung von Standard-Arbeitsanweisungen bzw. Muster-Algorithmen in realen Einsatzsituationen noch wichtig mitzuteilen?";
"60860707";"f757d17";"18.09.2019 10:36";"18.09.2019 10:37";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 31 und 40";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"weniger als 3 Jahre";"Rettungssanitäter /-innen";"";"";"";"";"";"";
"60860714";"17541ea";"18.09.2019 10:36";"18.09.2019 10:37";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60860751";"5e976d2";"18.09.2019 10:38";"18.09.2019 10:39";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60860783";"0c38dbd";"18.09.2019 10:39";"18.09.2019 10:40";"teilgenommen, aber noch nicht beendet";"";"zwischen 51 und 60";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"40";"";"";"";"";"";
"60860790";"bb1799f";"18.09.2019 10:39";"18.09.2019 10:40";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"80";"";"";"";"";"";
"60860799";"d2371a2";"18.09.2019 10:40";"18.09.2019 10:41";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60860833";"88ba156";"18.09.2019 10:41";"18.09.2019 10:42";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60860870";"9fb38de";"18.09.2019 10:42";"18.09.2019 10:43";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60860880";"f2a7e5e";"18.09.2019 10:42";"18.09.2019 11:18";"teilgenommen und beendet";"";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"10";"Übergabe von Patienten";"Missachtung des berufsstandes";"Übergabe von Patienten";"Keine";"Das notfallsanitäter in der Ausführung der Hilfe behindert werden";
"60860890";"22ddd4b";"18.09.2019 10:43";"18.09.2019 10:44";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Rettungsassistenten/-innen";"";"";"";"";"";"";
"60860894";"f630e1c";"18.09.2019 10:43";"18.09.2019 10:48";"teilgenommen und beendet";"weiblich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"weniger als 3 Jahre";"Notfallsanitäter/-innen";"70";"Wenn Patienten z.B. sehr Starke Schmerzen haben gibt es bei uns die Anweisung erst Paracetamol zu geben was bei Amputationen nicht die gewünschte Wirkung hat und man deshalb direkt auf Ketanest Dormicum wechselt";"Das man vom Empfinden eher herabgestuft wurde von seiner Qualifikation als vorher";"In verschiedenen Einsatzsituationen ist das möglich z.B. ACS, Übelkeit etc.";"Einheitliches Muster für alle Rettungsdienste, so dass der Patient überall gleich behandelt wird";"Ich wünsche mir mehr Verantwortung dür den NotSan und Vertrauen in die Arbeit und das Erlernte";
"60860900";"1a98481";"18.09.2019 10:43";"18.09.2019 12:02";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60860986";"238adb4";"18.09.2019 10:46";"18.09.2019 10:47";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60861031";"3f89d34";"18.09.2019 10:48";"18.09.2019 10:55";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"80";"Wenn sie durch den Ärztlichen Leiter angepasst wurden, wenn der Patient nicht zur SAA passt (z.B. wegen Allergien auf Medikamente, oder die in den Landes-SAA genannten Medikamente gar nicht auf dem Fahrzeug sind)";"Das die Ärztlichen Leiter sich nicht daran halten müssen, sondern sie als 'Empfehlung' betrachten. Mir sind Fälle bekannt (besonders bei RD mit großen BF) in denen die Fahrzeuge dermaßen abgerüstet wurden, das ein NotSan überhaupt keine Möglichkeit besitzt entsprechende SAA umzusetzen.";"Anaphylaxie, ACS, Apoplex, Hypertonie, cerebrale Krampfanfälle, COPD/ Asthma";"Zusätzliche Ausbildung, zunehmende Anwendersicherheit, Medikamentenkarten (Indikation, Kontraindikation, Dosierung)";"Sie müssten allgemein verbindlich für alle RD gelten. Mehr dürfen von den Ärztlichen Leitern geschult und freigegeben werden, aber nicht weniger. Ebenfalls sind alle Medikamente/ Materialien auf den Fahrzeugen zu verlasst, die in den Bundes-SAA vorgesehen sind.";
"60861062";"8a80c0c";"18.09.2019 10:49";"18.09.2019 10:50";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60861174";"40c0201";"18.09.2019 10:51";"18.09.2019 10:57";"teilgenommen und beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Rettungsassistenten/-innen";"50";"Aufgrund von Kombinationen verschiedener Erkrankungen wo die Algorithmen einzeln helfen würden aber auf den gesamt Patienten nicht angewendet werden darf.";"Kontrindikationen welche meistens nur für eine Krankheit gesehen wird aber Kombinationen ausschließen";"In Einsätzen meistens bei jüngeren die keine Palette an Vorerkrankungen haben";"Handlungssicherheit im Rahmen der Algorithmen";"Die Fragen sind zu steif und es werden wenig Spielraum gegeben zu antworten";
"60861186";"3d65177";"18.09.2019 10:50";"18.09.2019 10:52";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60861220";"62d6b43";"18.09.2019 10:52";"18.09.2019 10:53";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Rettungsassistenten/-innen";"";"";"";"";"";"";
"60861287";"c6db680";"18.09.2019 10:54";"18.09.2019 10:55";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60861302";"fcde2cc";"18.09.2019 10:54";"18.09.2019 10:55";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60861342";"3cefcc7";"18.09.2019 10:56";"18.09.2019 10:57";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60861392";"36961c0";"18.09.2019 10:56";"18.09.2019 11:01";"teilgenommen und beendet";"weiblich";"zwischen 31 und 40";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"50";"In meinem ländlichen Einsatzgebiet kannst du SOP oft nicht 1:1 umsetzen da wir bis zur nächsten Klinik 30 Minuten fahren und man sich dann lieber früher einen Arzt zur Versorgung hinzuzieht";"Siehe oben";"Reanimation";"Sie geben einem Sicherheit";"Jeder kann sie zu jeder Tages und Nachtzeit abrufen und abarbeiten";
"60861403";"ab9a075";"18.09.2019 10:57";"18.09.2019 11:04";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"60";"Beengte Platzverhältnisse, Komunikationsprobleme";"Unflexibles Vorgehen, nicht an die Einsatzsituation anpassbar,";"Reanimation, ACS, Trauma , NIV";"Teamarbeit vorallen bei unbekannten Teampartner, , Geschwindigkeit";"Gute Grundlage, Fachwissen, Flexibilität und Bauchgefühl sibd aber unersätzlich";
"60861572";"1770bc8";"18.09.2019 11:01";"18.09.2019 11:03";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60861651";"d01ffa9";"18.09.2019 11:04";"18.09.2019 11:05";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Rettungsassistenten/-innen";"";"";"";"";"";"";
"60861702";"fbc052e";"18.09.2019 11:05";"18.09.2019 11:11";"teilgenommen und beendet";"";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"90";"Reanimation, Astma Copd, Lungenödem, ACS, Krampfanfall Erw und Kind, CPAP, Beckenschlinge, Analgesie mit Perfalgan, Anaphylaxie";"Komplexe SOP, muss vereinfacht werden.";"Reanimation, Astma Copd, Lungenödem, ACS, Krampfanfall Erw und Kind, CPAP, Beckenschlinge, Analgesie mit Perfalgan, Anaphylaxie";"Fortbildung, Tablet zur vor Ort Kontrolle der Checkliste, der Anwendung der SOP";"Einfach halten und nicht zu komplex Schriftstücke";
"60861746";"90dac47";"18.09.2019 11:06";"18.09.2019 11:11";"teilgenommen und beendet";"männlich";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"100";"Keine";"Keine";"Reanimation, Apoplex, Hypertensive Entgleisung , AKS, Hypoglykämie, Anaphylaktische Reaktionen , Krampfanfall";"Keine";"Keine";
"60861767";"5235ddf";"18.09.2019 11:06";"18.09.2019 11:08";"teilgenommen, aber noch nicht beendet";"";"zwischen 41 und 50";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60861860";"ba8564b";"18.09.2019 11:10";"18.09.2019 11:10";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 18 und 20";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Vollzeit (100%)";"weniger als 3 Jahre";"Rettungssanitäter /-innen";"";"";"";"";"";"";
"60861934";"919e99e";"18.09.2019 11:12";"18.09.2019 12:59";"teilgenommen und beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"40";"- Kontraindikationen gegen die delegierten Medikamente, - sonstige medizinische Problematiken/Erkrankungen, die nicht durch die SAA abgedeckt werden";"- atypische Symptome";"- Patienten, die sich mit klaren Leitsymptomen und einer guten Compliance präsentieren, erleichtern die Anwendung von Algorithmen.";"- umfangreiche Erfahrung in der Ersteinschätzung von Patienten und deren Leitsymptomen. Manche Krankheitsbild stellen sich nicht immer klar dar, so dass die Eingangsvoraussetzungen für einen Algorithmus auf den ersten Blick vorliegen oder eben nicht vorliegen.";"";
"60861967";"a48d264";"18.09.2019 11:13";"18.09.2019 11:17";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60861977";"ab688b2";"18.09.2019 11:13";"18.09.2019 11:14";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60861998";"8bbb702";"18.09.2019 11:14";"18.09.2019 11:14";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60862013";"88bcdd4";"18.09.2019 11:14";"18.09.2019 11:15";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60862203";"86bd751";"18.09.2019 11:20";"18.09.2019 11:26";"teilgenommen und beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"1";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Notfallsanitäter/-innen";"80";"Bradykardie -&gt; Atropin bei AV-Block (SH), Immobilisation bei Trauma -&gt; s. Leitlinien und Studien (SH)";"Teilweise inkonsequente Anweisungen zur Indikation für Medikamente";"Analgesie, Tachykardie, Reanimation, ACS, Lungenödem";"Konsequente Schulungen, Taschenkarten, verbesserte Rechtslage";"Vereinheitlichen der Algorithmen im Bundesgebiet, abweichende Algorithmen schaffen Unsicherheiten in der Anwendung und Ausbildung, mit anschließender Tätigkeit in unterschiedlichen Kreisen oder Bundesländern.";
"60862437";"6ade90d";"18.09.2019 11:26";"18.09.2019 11:31";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Rettungsassistenten/-innen";"100";"Vu klemmt - rea, trauma in enge";"Klemmt, enge, Einsatz außerhalb der routine";"Acs, rea, normales trauma,...";"Platz, offensichtliches,....";"'erleichtern' das Arbeiten, jeder weiß was der andere tun muss/bessere Zusammenarbeit";
"60862441";"4c03b6a";"18.09.2019 11:26";"18.09.2019 11:27";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60862446";"1227a02";"18.09.2019 11:26";"18.09.2019 11:27";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 18 und 20";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"weniger als 3 Jahre";"Rettungshelfer/-innen";"";"";"";"";"";"";
"60862457";"7faf631";"18.09.2019 11:26";"18.09.2019 11:28";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60862504";"1fcb084";"18.09.2019 11:28";"18.09.2019 11:29";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60862580";"ced6cbd";"18.09.2019 11:30";"18.09.2019 11:31";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Rettungssanitäter /-innen";"";"";"";"";"";"";
"60862612";"730c223";"18.09.2019 11:31";"18.09.2019 11:37";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"mehr als 5 Jahre";"Rettungssanitäter /-innen";"80";"Bei Teampartnern denen diese Algorithmen nicht genau bekannt sind und oder dich gegen etwas Neues sperren";"Unwissenheit";"In über 90% meiner Fälle mit entsprechenden Teampartner";"Das wiederholen sowohl auf der Wache als auch auf Fort-/ausbildungen";"Ich würde mir wünschen das Algorithmen mehr in schulischen Aus-/Fortbildungen gelebte und gelernt werden, auch das manch Praxisanleiter dies auch vorlebt und man dann den Faktor des nicht Vergessens gerade in richtigen Notfallsituationen erkennt";
"60862620";"5370aec";"18.09.2019 11:31";"18.09.2019 11:32";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60862739";"1eec5ce";"18.09.2019 11:36";"18.09.2019 11:40";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"10";"Bisher in keiner so wirklich";"Der Patientenzustand hat eine Indikation nicht hergegeben, der parall alarmierte Notarzt war zu schnell an der Einsatzstelle";"Bisher in keiner so wirklich";"Der Patientenzustand hat eine Indikation nicht hergegeben, der parall alarmierte Notarzt war zu schnell an der Einsatzstelle";"SOPs sind sicherlich gute Hilfsmittel, wenn man sie den auch anwenden kann und darf. In meinem RD- Bereich ist nicht mal eine Analgesie durch NotSan freigegeben";
"60862775";"a70bb15";"18.09.2019 11:36";"18.09.2019 11:37";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60862949";"fb7697b";"18.09.2019 11:42";"18.09.2019 11:42";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Rettungssanitäter /-innen";"";"";"";"";"";"";
"60862951";"2f1bb79";"18.09.2019 11:41";"18.09.2019 11:46";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"60";"Nahezu immer, da bei relevanten Fällen bereits ein NA alarmiert war oder die Patientensituation die SAA-Freigaben überstieg.";"Zu enge Fassung der Vorgaben.";"Keine";"Keine";"Teilweise zu eng gefasste Vorgaben, insbesondere im Bereich Analgesie.";
