"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Mein Geschlecht...";"2. Mein Lebensalter in Jahren ist...";"3. Das Bundesland in dem ich Prüfungen durchführe ist...";"Baden-Württemberg";"Bayern";"Berlin";"Brandenburg";"Bremen";"Hamburg";"Hessen";"Mecklenburg-Vorpommern";"Niedersachsen";"Nordrhein-Westfalen";"Rheinland-Pfalz";"Saarland";"Sachsen";"Sachsen-Anhalt";"Schleswig-Holstein";"Thüringen";"4. Meine Beschäftigungszeit als Prüfer/in beträgt...";"5. Mein Beschäftigungsverhältnis ist...";"Angestellte/r in der Verwaltung";"Beamte/r in der Verwaltung";"Angestellte/r in einer Rettungsdienstschule";"Honorarkraft";"Textfeld";"6. Meine höchste medizinische Qualifikation ist...";"keine medizinische Qualifikation";"Rettungsassistent/in";"Notfallsanitäter/in";"(Not-) ärztliche Qualifiaktion";"Textfeld";"7. Meine höchste pädagogische Qualifikation ist...";"keine pädagogische Qualifikation";"Lehrrettungsassistent/in";"Praxisanleitende Notfallsanitäter/in";"Bildungswissenschaftler/in, Pädagoge/in, Erziehungswissenschaftler/in";"Textfeld";"8. Meine Tätigkeit als Prüfer/in beträgt...";"9. Die Anzahl meiner Prüfungen ist...";"Ergänzungsprüfungen";"Vollprüfungen";"10. Ich bin als Vorsitz einer Prüfungskommission eingesetzt...";"11. Die Ergänzungsprüfung empfinde ich als...";"12. Den Schwierigkeitsgrad der Ergänzungsprüfungen empfinde ich als...";"13. Den zeitlichen Rahmen der Ergänzungsprüfungen empfinde ich als...";"14. Die inhaltliche Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"15. Die methodische Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"16. Meine Anmerkungen zur Vorbereitung und Durchführung der Ergänzungsprüfungen...";"17. Die Vollprüfungen empfinde ich als...";"18. Den Schwierigkeitsgrad der Vollprüfungen empfinde ich als...";"19. Den zeitlichen Rahmen der Vollprüfungen empfinde ich als...";"20. Die inhaltliche Vorbereitung auf die Vollprüfungen empfinde ich als...";"21. Die methodische Vorbereitung auf die Vollprüfungen empfinde ich als...";"22. Meine Anmerkungen zur Vorbereitung und Durchführung der Vollprüfung...";"23. Nicht bestanden wurden die Ergänzungsprüfungen in den Prüfungsteilen...";"Mündliche Prüfung";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"24. Nicht bestanden wurden die Vollprüfungen in den Prüfungsteilen...";"Schriftliche Prüfung Teil 1";"Schriftliche Prüfung Teil 2";"Schriftliche Prüfung Teil 3";"Mündliche Prüfung";"Praktische Prüfung Teil Reanimation";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"Praktische Prüfung Teil sonstige Notfälle";"25. Welche Gründe haben Ihrer Meinung nach zum Nichtbestehen von Prüfungen geführt?";"26. Nach absolvierter Prüfung erlebe ich die/der/das...";"Fachwissen";"Gewichtung";"Struktur";"Gewichtung";"Verantwortung";"Gewichtung";"Können";"Gewichtung";"Pflichtgefühl";"Gewichtung";"Sorgfalt";"Gewichtung";"Ansehen";"Gewichtung";"-";"Gewichtung";"Zeit zu knapp";"Gewichtung";"Angaben in diesem Abschnitt sich nur auf die Ergänzungsprüfung";"Gewichtung";
"97212747";"uexnkuf";"19.10.2023 11:02";"19.10.2023 11:04";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 1 und weniger als 5 Jahren";"";"0";"6";"nein";"10";"70";"30";"20";"70";"";"0";"30";"30";"0";"0";"";"";"";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97213267";"gseyk4m";"19.10.2023 11:48";"19.10.2023 11:50";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"1";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"1";"";"";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 1 und weniger als 5 Jahren";"";"1";"10";"nein";"40";"70";"10";"10";"20";"";"10";"100";"20";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"Falsche oder fehlende Beurteilung von Verletzungen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97216241";"wxnrm9y";"19.10.2023 14:58";"19.10.2023 14:58";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97216482";"gdwe47k";"19.10.2023 15:12";"19.10.2023 15:16";"teilgenommen, aber noch nicht beendet";"";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"weniger als 1 Jahr";"";"1";"2";"nein";"30";"50";"50";"70";"80";"";"30";"60";"30";"10";"50";"";"";"";"1";"1";"";"";"";"";"1";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97216549";"bfh9iwf";"19.10.2023 15:16";"19.10.2023 15:21";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"";"1";"";"1";"";"";"";"";"";"1";"";"GuK";"";"1";"";"";"";"";"zwischen 10 und weniger als 15 Jahren";"";"4";"4";"nein";"60";"0";"0";"80";"80";"";"0";"100";"0";"0";"0";"";"";"";"";"1";"";"1";"1";"1";"1";"";"1";"1";"1";"";"";"3";"33%";"3";"33%";"3";"33%";"3";"33%";"2";"33%";"4";"100%";"2";"67%";"";"";"2";"33%";"";"";
"97217825";"xvjjf3r";"19.10.2023 16:22";"19.10.2023 16:30";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"";"1";"";"";"";"";"";"";"";"1";"";"";"";"";"1";"1";"";"";"zwischen 5 und weniger als 10 Jahren";"";"10";"3";"ja";"50";"50";"50";"50";"70";"";"50";"50";"50";"50";"50";"";"";"";"";"1";"";"";"";"";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97218336";"fbsrzpz";"19.10.2023 16:54";"19.10.2023 17:12";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 1 und weniger als 5 Jahren";"";"20";"50";"nein";"30";"60";"80";"90";"90";"";"40";"70";"60";"30";"70";"";"";"1";"1";"1";"";"";"";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97218865";"h7juthg";"19.10.2023 17:27";"19.10.2023 17:38";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 5 und weniger als 10 Jahren";"";"6";"4";"nein";"10";"30";"40";"20";"20";"Es kommt stark an an welchem Bildungsinstitut ich die Prüfungen durchlaufe und als Prüfer prüfe. Es gibt zwischen den Bildungsinstitutionen gravierende Unterschiede in Methode der Vorbereitung und Strukturierung der Prüfung bis hin zum Erwartungshorizont der Prüfung nach dem man die zu prüfenden bewertet. , , Man könnte sagen der NotSan den man erhält ist durch die unterschiedliche Vorbereitung und Prüfungsorganisation und Methode unterschiedlich viel wert.";"30";"40";"20";"0";"10";"Auch hier ist anzubringen das die Prüfungsqualität von Bildungseinrichtung zu Bildungseinrichtung stark schwankt so, dass man auch bei der NotSan Vollprüfung sagen muss das die Qualität des Abschlusses erheblich von der Einrichtung abhängt an der das Examen abgelegt und der Titel erworben wurde.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97221322";"kufddki";"19.10.2023 19:57";"19.10.2023 20:12";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"";"1";"";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";"Kurse";"zwischen 30 und weniger als 35 Jahren";"";"300";"50";"ja";"80";"20";"80";"100";"20";"Selbst nicht geeignete Personen auf dem Niveau von noch nicht einmal Rettungssanitätern oder (Werks-)Feuerwehrleuten werden zu den Ergänzungsprüfungen angemeldet und durchgewunken.";"0";"30";"60";"10";"10";"";"";"1";"1";"1";"";"";"";"";"1";"1";"1";"1";"";"Keine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97222128";"ihcjp4c";"19.10.2023 20:48";"19.10.2023 20:51";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"1";"";"";"";"";"";"";"1";"";"";"";"";"1";"1";"1";"";"zwischen 15 und weniger als 20 Jahren";"";"1000";"350";"ja";"80";"10";"90";"90";"90";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97222987";"iiv3ttf";"19.10.2023 21:56";"19.10.2023 22:11";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 1 und weniger als 5 Jahren";"";"0";"2";"nein";"50";"50";"50";"50";"50";"Da wir an unserem Standort keine Ergänzungsprüfungen durchführen, kann ich dazu keine Aussagen treffen.";"10";"70";"20";"20";"20";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";"- vergessen Schock abzugeben, trotz Indikation, - Thoraxentlastungspunktion durchgeführt, trotz fehlender Indikation, - über 10 min keine Sauerstoffgabe, trotz sinkender Sättigung und Indikation";"";"3";"";"3";"";"3";"";"3";"";"3";"";"3";"";"3";"";"";"";"";"";"";"";
"97224003";"qmrpteq";"20.10.2023 00:11";"20.10.2023 00:15";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 10 und weniger als 15 Jahren";"";"20";"50";"ja";"0";"30";"10";"50";"50";"";"0";"40";"0";"50";"50";"";"";"1";"1";"1";"";"1";"1";"1";"1";"1";"1";"1";"1";"";"";"1";"67%";"2";"67%";"3";"67%";"3";"67%";"2";"67%";"3";"67%";"3";"67%";"";"";"";"";"";"";
"97225795";"xqbnhr9";"20.10.2023 07:09";"20.10.2023 07:11";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 5 und weniger als 10 Jahren";"";"15";"6";"nein";"20";"50";"40";"30";"0";"";"30";"70";"30";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97230748";"ihimvsa";"20.10.2023 13:27";"20.10.2023 13:28";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97238543";"dcym3gz";"20.10.2023 23:32";"20.10.2023 23:36";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"1";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 5 und weniger als 10 Jahren";"";"4";"2";"nein";"0";"30";"10";"20";"40";"";"20";"30";"30";"40";"30";"";"";"";"";"1";"";"";"";"";"";"";"";"1";"1";"";"";"2";"67%";"1";"100%";"1";"67%";"2";"100%";"1";"67%";"2";"67%";"1";"100%";"";"";"";"";"";"";
"97238928";"wiesgxu";"21.10.2023 00:34";"21.10.2023 00:38";"teilgenommen und beendet";"";"zwischen 21 und 30";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"1";"";"";"";"Notfallsanitäter  und Praxisanleiter im Ausbildungsbetrieb";"";"";"";"1";"";"";"";"";"";"1";"";"";"weniger als 1 Jahr";"";"4";"0";"nein";"20";"20";"0";"40";"40";"";"20";"70";"60";"30";"20";"";"";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"1";"100%";"2";"67%";"1";"100%";"1";"67%";"2";"100%";"1";"100%";"3";"33%";"";"";"";"";"";"";
"97239112";"dcmtnnj";"21.10.2023 00:56";"21.10.2023 01:12";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"1";"1";"";"";"zwischen 5 und weniger als 10 Jahren";"";"3";"6";"nein";"50";"50";"50";"60";"60";"Von Schule zu Schule sehr unterschiedlich. Es ist schon interessant, dass an einigen Schulen immer alle bestehen und in anderen die Durchfallquote immer sehr hoch…";"50";"30";"60";"70";"60";"Ich würde die Azubis gerne intensiver auf die Prüfung und das „danach“ besser vorbereiten, vor allem was die Berufsehre betrifft und den „Wandel“ des Berufsbildes des NotSan („unnötige“ Einsätze, einsame Menschen, Obdachlose, Alkoholkranke, die Bevölkerung wird immer älter, immer kränker…). Praktika in einem Altenheim (am besten im 2. Jahr) und in einer Hausarztpraxis…";"";"1";"1";"1";"";"";"";"1";"1";"1";"1";"1";"1";"Ich glaube es ist oft ein „Einstellungsproblem“ der Azubis, wird schon schiefgehen, bestehen reicht doch, egal wie. Alles ist immer cool, der Ernst und die Wichtigkeit des Berufes NotSan wird oft nicht richtig eingeschätzt. Teilweise unzureichende Vorbereitung, Unterricht der ausfällt, zu wenig Praxisunterricht. Persönlich glaube ich, dass die Azubis auf der Straße versaut werden…";"";"1";"67%";"1";"100%";"1";"100%";"2";"67%";"1";"100%";"1";"100%";"4";"100%";"";"";"";"";"";"";
"97240901";"tnbnzfx";"21.10.2023 11:10";"21.10.2023 11:16";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 5 und weniger als 10 Jahren";"";"5";"6";"nein";"0";"30";"30";"30";"50";"";"10";"50";"10";"0";"0";"";"";"1";"1";"1";"";"";"";"1";"1";"1";"1";"1";"1";"Fehlende Struktur in der Versorgung, Wissenslücken zu pathophysiologischen Vorgängen, nicht-Kennen von Behandlungsstrategien und Algorithmen, Wissenslücken in der Pharmakologie, mangelnde charakterliche Eignung.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97241424";"iwn9znw";"21.10.2023 12:33";"21.10.2023 12:34";"teilgenommen, aber noch nicht beendet";"";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"weniger als 1 Jahr";"";"5";"1";"nein";"30";"20";"60";"50";"70";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97241429";"4bfwhrc";"21.10.2023 12:33";"21.10.2023 12:33";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
