"ID";"Gestartet am";"Zuletzt aktualisiert am";"Status";"Collector";"Sprache";"IP-Adresse";"Gerät";"Ich erkläre mich freiwillig dazu bereit, an der oben genannten Umfrage teilzunehmen. Die Ziele der Umfrage, Datenschutzbestimmungen und meine Rechte wurden ausführlich erläutert und sind mir verständlich.";"In welchem Kurs sind Sie eingeschrieben?";"Mit welchem Geschlecht identifizieren Sie sich?";"Ich habe an dem Eye-Tracking-Versuch teilgenommen.";"Wie werden komplexe Themen im LMS aufbereitet und wie beeinflusst das Ihre Lernprozesse?";"Welche Rolle spielen multimediale Inhalte im LMS für Ihr Verständnis?";"Wie bewerten Sie die Klarheit und Struktur der im LMS präsentierten Informationen?";"Auf welche Weise fördert das LMS aktive Diskussionen und Austausch mit anderen?";"Wie unterstützt das LMS Gruppenarbeit und Kollaboration unter den Lernenden?";"Welchen Einfluss hat die Benutzeroberfläche des LMS auf Ihre Interaktionsmöglichkeiten?";"Wie zeitnah und hilfreich ist das Feedback, das Sie im LMS erhalten?""";"Inwiefern unterstützen die Bewertungssysteme im LMS Ihr Verständnis über Ihren Lernfortschritt?";"Welche Rolle spielen Selbstbewertungstools im LMS für Ihre Selbsteinschätzung?";"Wie passt sich das LMS an Ihre individuellen Lernbedürfnisse an?""";"Gibt es Möglichkeiten im LMS, Lerninhalte nach Ihren Interessen und Stärken zu personalisieren?""";"(fehlende) Möglichkeiten im LMS, Lerninhalte nach Ihren Interessen und Stärken zu personalisieren.";"Wie bewerten Sie die Flexibilität des LMS in Bezug auf individuelle Lernbedürfnisse?""
";"Wie einfach ist es, auf verschiedene Ressourcen im LMS zuzugreifen?";"Wie nahtlos integriert das LMS externe Lernmaterialien oder -werkzeuge?";"Wie bewerten Sie die Barrierefreiheit und Zugänglichkeit des LMS für alle Lernenden.";"Welche Anmerkungen oder Feedback haben Sie?"
"98000987";"12.07.2024 14:04:20";"12.07.2024 14:10:36";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"männlich";"Nein";"3";"4";"3";"2";"2";"2";"2";"3";"3";"3";"Ja";"Fehlende Struktur der Grafischen Gestaltung";"3";"2";"2";"2";"Moderne LMS sind ein guter Weg wissen zu vermitteln und zu erhalten, die Systeme sollten so intrigiert sein das eine zeitliche Fokussierung auf dem lernen und verstehen liegt nicht auf dem Verständnis des oder der Programme. Hier liegt der Fokus auf der Einfachheit der Bedienung"
"98000951";"12.07.2024 14:03:54";"12.07.2024 14:10:24";"Angefangen, aber noch nicht abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"männlich";"Nein";"3";"5";"3";"4";"3";"5";"2";"3";"3";"2";"Nein";"Einfachere/ intuitivere Benutzeroberfläche";"3";"2";"3";"4";""
"98000929";"12.07.2024 14:03:29";"12.07.2024 14:10:33";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"weiblich";"Nein";"3";"2";"3";"3";"2";"2";"3";"1";"3";"3";"Ja";"Alles basiert auf Gruppenergebnissen und man ist sehr auf das schriftliche Ergebnis anderer angewiesen.";"4";"2";"2";"3";"Manchmal ist man erschlagen von verschiedensten Möglichkeiten der Ergebnissicherung, Aufgabenverteilung und Tools die man verschieden nutzen kann. 
Zu viele Tools führen eher zu Chaos als zur Selbst- und Gruppenorganisation."
"98000927";"12.07.2024 14:03:28";"12.07.2024 14:05:33";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"männlich";"Ja";"4";"3";"4";"2";"4";"5";"5";"4";"4";"5";"Ja";"";"5";"3";"4";"3";""
"98000926";"12.07.2024 14:03:26";"12.07.2024 14:07:22";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"männlich";"Nein";"4";"4";"3";"4";"4";"3";"4";"3";"2";"2";"Ja";"";"3";"3";"2";"4";""
"98000914";"12.07.2024 14:03:10";"12.07.2024 14:10:51";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"männlich";"Nein";"3";"5";"4";"5";"4";"3";"4";"5";"4";"2";"Ja";"";"3";"5";"2";"3";""
"98000901";"12.07.2024 14:03:01";"12.07.2024 14:09:44";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"männlich";"Nein";"3";"4";"3";"4";"4";"4";"4";"4";"3";"4";"Ja";"";"3";"4";"3";"4";""
"98000754";"12.07.2024 14:00:38";"12.07.2024 14:08:55";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"weiblich";"Ja";"3";"4";"3";"4";"3";"3";"2";"2";"3";"3";"Ja";"";"4";"3";"4";"2";""
"97998592";"12.07.2024 13:25:11";"12.07.2024 14:08:22";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"männlich";"Nein";"3";"4";"3";"4";"4";"3";"2";"2";"2";"3";"Nein";"Lerninhalt ist durch APrV vorgegeben";"3";"2";"2";"2";""
"97979968";"12.07.2024 07:45:21";"12.07.2024 08:11:41";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"männlich";"Ja";"4";"5";"3";"4";"5";"2";"2";"2";"1";"2";"Nein";"";"2";"4";"3";"2";""
"97965503";"11.07.2024 22:10:20";"15.07.2024 08:59:20";"Angefangen, aber noch nicht abgeschlossen";"21-NFS-09";"-";"Anonym";"Anonym";"Ja";"21-NFS-09";"männlich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"97958501";"11.07.2024 19:40:26";"12.07.2024 14:07:49";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"weiblich";"Ja";"3";"4";"4";"5";"4";"4";"3";"4";"3";"3";"Ja";"Intuitiver und mehr Schulung";"3";"4";"2";"2";""
"97956381";"11.07.2024 19:05:20";"11.07.2024 19:05:55";"Angefangen, aber noch nicht abgeschlossen";"21-NFS-09";"-";"Anonym";"Anonym";"Ja";"";"männlich";"Ja";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"97956166";"11.07.2024 19:02:01";"11.07.2024 19:02:29";"Angefangen, aber noch nicht abgeschlossen";"21-NFS-09";"-";"Anonym";"Anonym";"Ja";"21-NFS-09";"weiblich";"Ja";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"97955004";"11.07.2024 18:39:34";"11.07.2024 18:40:21";"Angefangen, aber noch nicht abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"männlich";"Ja";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"91307080";"27.03.2024 15:58:09";"27.03.2024 15:58:27";"Abgeschlossen";"Web Iframe 2";"-";"Anonym";"Anonym";"Nein";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"91295608";"27.03.2024 11:50:58";"27.03.2024 11:54:45";"Abgeschlossen";"LMS DRK-Bildungszentrum Düsseldorf";"-";"Anonym";"Anonym";"Ja";"22-NFS-09";"männlich";"Nein";"4";"4";"5";"4";"5";"4";"4";"3";"5";"4";"Ja";"";"4";"5";"4";"4";""
"91294425";"27.03.2024 11:25:10";"27.03.2024 11:31:02";"Abgeschlossen";"LMS DRK-Bildungszentrum Düsseldorf";"-";"Anonym";"Anonym";"Ja";"22-NFS-09";"männlich";"Nein";"5";"5";"3";"4";"4";"4";"3";"2";"2";"3";"Ja";"";"3";"5";"4";"4";"-"
"91294332";"27.03.2024 11:22:55";"27.03.2024 11:28:48";"Abgeschlossen";"LMS DRK-Bildungszentrum Düsseldorf";"-";"Anonym";"Anonym";"Ja";"22-NFS-09";"männlich";"Ja";"3";"3";"3";"4";"4";"3";"3";"3";"3";"3";"Ja";"";"4";"4";"3";"5";""
"91294262";"27.03.2024 11:21:32";"27.03.2024 11:24:13";"Abgeschlossen";"LMS DRK-Bildungszentrum Düsseldorf";"-";"Anonym";"Anonym";"Ja";"22-NFS-09";"weiblich";"Ja";"4";"3";"5";"2";"5";"3";"3";"3";"2";"3";"Ja";"";"5";"5";"4";"5";""
"91294158";"27.03.2024 11:19:20";"27.03.2024 11:24:20";"Abgeschlossen";"LMS DRK-Bildungszentrum Düsseldorf";"-";"Anonym";"Anonym";"Ja";"22-NFS-09";"männlich";"Ja";"4";"5";"4";"4";"3";"4";"2";"4";"2";"4";"Ja";"";"3";"4";"4";"3";""
"91294142";"27.03.2024 11:19:06";"27.03.2024 11:20:46";"Abgeschlossen";"LMS DRK-Bildungszentrum Düsseldorf";"-";"Anonym";"Anonym";"Ja";"22-NFS-09";"männlich";"Ja";"4";"4";"5";"2";"3";"4";"4";"3";"5";"3";"Ja";"";"3";"4";"5";"5";""
"91284955";"27.03.2024 07:18:40";"27.03.2024 07:19:14";"Angefangen, aber noch nicht abgeschlossen";"LMS DRK-Bildungszentrum Düsseldorf";"-";"Anonym";"Anonym";"Ja";"22-NFS-09";"weiblich";"Ja";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"91250839";"26.03.2024 13:27:28";"26.03.2024 13:38:09";"Angefangen, aber noch nicht abgeschlossen";"LMS DRK-Bildungszentrum Düsseldorf";"-";"Anonym";"Anonym";"Ja";"22-NFS-09";"weiblich";"Ja";"4";"5";"4";"3";"4";"2";"4";"2";"3";"1";"Nein";"Ich habe keine Möglichkeit Themen zu sortieren oder mir einen eigenen Lernplan zu erstellen. Außerdem kann ich nicht sämtliche Themen im Überblick sehen (z.B auf einer Bildschirmseite).";"3";"4";"4";"3";"Der Bestätigungsbutton, um auf das nächste Foto zu gelangen, ist in der Mitte des Bildschirms. Ich kann mir vorstellen, dass sich das Ergebnis verändert, wäre der Button an anderer Stelle."
"91247984";"26.03.2024 12:29:28";"26.03.2024 13:48:06";"Abgeschlossen";"LMS DRK-Bildungszentrum Düsseldorf";"-";"Anonym";"Anonym";"Ja";"22-NFS-09";"männlich";"Ja";"3";"4";"2";"3";"2";"4";"3";"2";"1";"2";"Nein";"";"2";"2";"2";"1";"Ich habe deutliche Unterschiede zwischen den Bildern gemerkt. Es gab Screenshots die sehr aufgeräumt wirkten, und in denen ich sehr schnell zum Lesen des Inhalts übergegangen bin. In vielen Bildern habe ich von dem Inhalt jedoch nichts verarbeiten können, ich war sehr mit dem überblicken der Benutzeroberfläche beschäftigt. Das mag aber auch an dem moderaten Zügen eines ADS bei mir liegen."
"91243404";"26.03.2024 11:03:12";"26.03.2024 11:48:24";"Abgeschlossen";"LMS DRK-Bildungszentrum Düsseldorf";"-";"Anonym";"Anonym";"Ja";"22-NFS-09";"weiblich";"Ja";"3";"4";"3";"2";"4";"4";"3";"3";"3";"3";"Ja";"Zusätzliche Personendaten werden eingefügt, ggf. Daten wie ist mein Lernrhythmus.";"2";"3";"3";"4";""
"91243403";"26.03.2024 11:03:12";"27.03.2024 11:27:02";"Abgeschlossen";"LMS DRK-Bildungszentrum Düsseldorf";"-";"Anonym";"Anonym";"Ja";"22-NFS-09";"weiblich";"Ja";"3";"5";"4";"3";"3";"3";"2";"5";"4";"4";"Ja";"Struktur";"4";"3";"3";"5";"ADHS-Berücksichtigung könnte von Relevanz sein"
