"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Mein Geschlecht...";"2. Mein Lebensalter in Jahren ist...";"3. Das Bundesland in dem ich Standart-Arbeitsanweisungen oder Muster-Algorithmen durchführe ist...";"Baden-Württemberg";"Bayern";"Berlin";"Brandenburg";"Bremen";"Hamburg";"Hessen";"Mecklenburg-Vorpommern";"Niedersachsen";"Nordrhein-Westfalen";"Rheinland-Pfalz";"Saarland";"Sachsen";"Sachsen-Anhalt";"Schleswig-Holstein";"Thüringen";"4. Meine rettungsdienstliche Beschäftigung beträgt...";"5. Meine rettungsdienstliche Tätigkeit beträgt...";"6. Ich gehöre zu einer der folgenden Berufsgruppen:";"7. Inwieweit wurden bisher Ihre vorgegebenen Standard-Arbeitsanweisungen bzw. Muster-Algorithmen genau so (1:1) von Ihnen in realen Einsatzsituationen so umgesetzt, wie diese beschrieben sind?";"8. Bei welchen Einsatzsituationen konnten Ihre Standard-Arbeitsanweisungen bzw. Muster-Algorithmen nicht genau so (1:1) umgesetzt werden?";"9. Was denken Sie?  Welche Gründe verhinderten die 1:1 Umsetzung Ihrer Standard-Arbeitsanweisungen bzw. Muster-Algorithmen in realen Einsatzsituationen?";"10. Was denken Sie?  Welche Faktoren waren für die Umsetzung Ihrer Standard-Arbeitsanweisungen bzw. Muster-Algorithmen in realen Einsatzsituationen hilfreich?";
"60782434";"e8509a3";"15.09.2019 19:12";"15.09.2019 19:16";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"100";"Parallelalarmierungen";"Der ärztliche Leiter Rettungsdienst , Notärzte";"";
"60782446";"b0dd4cf";"15.09.2019 19:12";"15.09.2019 19:13";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60782464";"967b64f";"15.09.2019 19:13";"15.09.2019 19:14";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"Notfallsanitäter/-innen";"100";"";"";"";
"60782473";"450be4f";"15.09.2019 19:14";"15.09.2019 19:14";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Rettungsassistenten/-innen";"";"";"";"";
"60782487";"ab8d8da";"15.09.2019 19:15";"15.09.2019 19:15";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"0";"";"";"";
"60782488";"fffbefb";"15.09.2019 19:14";"15.09.2019 19:21";"teilgenommen und beendet";"männlich";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Notfallsanitäter/-innen";"100";"Keine";"Keine";"";
"60782493";"bb44865";"15.09.2019 19:15";"15.09.2019 19:16";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60782503";"4ea7df7";"15.09.2019 19:16";"15.09.2019 19:16";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60782515";"c834c29";"15.09.2019 19:16";"15.09.2019 19:16";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60782558";"fff4a92";"15.09.2019 19:18";"15.09.2019 19:20";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"90";"In den Fällen bei denen der Notarzt vor Abschluss meiner Arbeit eingetroffen ist.";"Mangelndes Wissen";"";
"60782563";"bfaa473";"15.09.2019 19:18";"15.09.2019 19:19";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60782573";"27e83cb";"15.09.2019 19:19";"15.09.2019 19:23";"teilgenommen und beendet";"weiblich";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Rettungsassistenten/-innen";"80";"Meistens Einsätze mit NA";"Das es zum Beispiel im Trauma zuviele Aussagen gibt und jede Schule sein eigenes Ding macht.";"";
"60782582";"dadd7d2";"15.09.2019 19:19";"15.09.2019 19:20";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60782616";"2472a7c";"15.09.2019 19:20";"15.09.2019 19:21";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 18 und 20";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Rettungssanitäter /-innen";"80";"";"";"";
"60782629";"21c10c4";"15.09.2019 19:21";"16.09.2019 14:31";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60782630";"e4ba029";"15.09.2019 19:20";"15.09.2019 19:22";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 21 und 30";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60782633";"beb9bc4";"15.09.2019 19:15";"15.09.2019 19:22";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"70";"";"";"";
"60782651";"fd0f2ea";"15.09.2019 19:22";"15.09.2019 19:23";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Rettungsassistenten/-innen";"";"";"";"";
"60782761";"f7d55dd";"15.09.2019 19:24";"15.09.2019 19:27";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"50";"";"";"";
"60782785";"4d082ce";"15.09.2019 19:28";"15.09.2019 19:29";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60782805";"3569d9d";"15.09.2019 19:28";"15.09.2019 19:34";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"Notfallsanitäter/-innen";"100";"Komplexe internistische Probleme bei Parallelanwendung von 2-8 Seiten im Taschenbuch. Da blieben gewisse Dinge manchmal auf der Strecke. Z.B. Kardiogenes Lungenödem mit ACS , Trauma ist auch nicht immer genau so realisierbar wie in den SAA aufgezählt. , Häufig durch schlechtes Fortbildungsmanagement. Bei Fortbildungen mit hohem Praxussnteil sind die Kollegen fitter und sicherer";"Komplexität in Kombination mit unerfahrenen Kollegen";"";
"60782812";"881e7ba";"15.09.2019 19:27";"15.09.2019 19:30";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60782841";"f0541b3";"15.09.2019 19:30";"15.09.2019 19:31";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60782922";"5f9f7a7";"15.09.2019 19:34";"15.09.2019 19:34";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60782938";"c39ed4c";"15.09.2019 19:34";"15.09.2019 19:35";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60782965";"f2868fe";"15.09.2019 19:36";"15.09.2019 19:37";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"80";"Analgesie";"Fehlende Medikamente, Fehlende Freigaben";"";
"60782969";"e863b19";"15.09.2019 19:36";"15.09.2019 19:37";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"70";"";"";"";
"60783023";"9c29abc";"15.09.2019 19:38";"15.09.2019 19:39";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60783047";"cbcca32";"15.09.2019 19:38";"15.09.2019 19:42";"teilgenommen und beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"70";"Große Anzahl an verletzten , Und sehr unkooperative Patienten";"Sind auf eine 1 zu 1 Betreuung ausgelegt";"";
"60783052";"5f59915";"15.09.2019 19:40";"15.09.2019 19:42";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"90";"SOP für insulinpfl. DM vorhanden, allerdings sind nicht alle hypoglykämischen Pat. insulinpflichtig";"s.o.";"";
"60783062";"cae79b5";"15.09.2019 19:40";"15.09.2019 19:42";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"50";"Wenn der NA gleichzeitig oder kurze Zeit später am Einsatz ist. Weiter ist in Bayern fast nichts freigegeben,.";"Sehr eng gestecktes Feld in Bayern. Kaum Entfaltungsmöglichkeiten für NFS.";"";
"60783100";"0880ad5";"15.09.2019 19:41";"15.09.2019 19:45";"teilgenommen und beendet";"";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"Notfallsanitäter/-innen";"80";"v.a. ACS, Leitsymptom akuter Krampfanfall";"Einsatzumgebung, Eintreffen des NAs, das Handeln und Verstehen des Patienten";"";
"60783156";"6c4eea1";"15.09.2019 19:36";"15.09.2019 19:45";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"";"";"Notärzte / Notärztinnen";"40";"";"";"";
"60783207";"36da77e";"15.09.2019 19:47";"15.09.2019 19:47";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60783212";"90613ab";"15.09.2019 19:47";"15.09.2019 19:50";"teilgenommen und beendet";"weiblich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"30";"Bei ca 90%";"Gegenläufige Anweisungen des ÄLRD. Kaum SAA‘ eingeführt, nur in diesen Fällen „dürfen“ erweiterte Maßnahmen durchgeführt werden. Weichen von SAA des Landes ab.";"";
"60783218";"092f681";"15.09.2019 19:47";"15.09.2019 19:48";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"0";"";"";"";
"60783336";"0a700ea";"15.09.2019 19:53";"15.09.2019 19:54";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60783341";"d7d09a9";"15.09.2019 19:53";"15.09.2019 19:55";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"50";"Patienten mit Sprachbarriere!";"Mannigfaltig......";"";
"60783384";"0541ade";"15.09.2019 19:55";"15.09.2019 19:59";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"Notfallsanitäter/-innen";"80";"Reanimation,Medikamentengabe, Traumaversorgung";"Räumliche Gegebenheit, vorherige Versorgung durch Fachpersonal";"";
"60783419";"bbec974";"15.09.2019 19:57";"15.09.2019 19:58";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60783484";"bf34162";"15.09.2019 20:01";"15.09.2019 20:03";"teilgenommen und beendet";"weiblich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"100";"Pädiatrische Notfälle";"Eltern, Zugang zum Kind, vorgegebene mindest Kilo nicht erreicht";"";
"60783579";"fe29c81";"15.09.2019 20:04";"15.09.2019 20:06";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60783600";"59eb4b8";"15.09.2019 20:06";"15.09.2019 20:07";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60783637";"deb99a2";"15.09.2019 20:08";"15.09.2019 20:11";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"0";"-";"Es gibt in Bayern keine Standard-Arbeitsanweisungen / Muster-Algorithmen.";"";
"60783678";"226caa7";"15.09.2019 20:09";"15.09.2019 20:17";"teilgenommen und beendet";"männlich";"zwischen 21 und 30";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"40";"Bei vielen Einsatzszenarios ist eine 1:1 Umsetzung nicht möglich und auch nicht sinnvoll. In anderen Situationen wiederum ist eine genaue Umsetzung wichtig und bietet viele Vorteile.";"Die 1:1 Umsetzung scheitert meiner Meinung nach zu 50% an nicht sinnvollen einzelschritten in SOPs und zu 50% an an persönlich anderer Prioritätensetzung aus persönlicher Erfahrung. ( Beispiel: nach SOP zuerst nasale gabe von midazolam und ketanest zur analgesie bei gutem venenstatus und einfacher I. V. Etablierung)";"";
"60783679";"3f750fd";"15.09.2019 19:37";"15.09.2019 20:13";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"70";"Medikamente z. T. nicht vorrätig";"Komplizierte Meldewege nach jedem Einsatz, in dem ich als NFS nach SOP Patienten behandelt habe";"";
"60783684";"da43131";"15.09.2019 20:10";"15.09.2019 20:11";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60783692";"f35920f";"15.09.2019 20:11";"15.09.2019 20:11";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60783693";"95f7f61";"15.09.2019 20:11";"15.09.2019 20:19";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"0";"In Bayern gibt es leider keine SAA´s, SOP´s oder Musteralgorithmen für 1c Maßnahmen. Algorithmen für 2c-Maßnahmen sind veröffentlicht, jedoch noch nicht freigegeben. Es existieren Empfehlungen für 1c Maßnahmen, welche durch die ÄLRD Bayern bayernweit einheitlich konsentiert sind. Konkrete Handlungsanweisungen gibt es nicht, da laut ÄLRD bei Maßnahmen, welche im rechtfertigenden Notstand durchgeführt werden, keine genauen Vorgaben gemacht werden dürfen.";"siehe oben";"";
"60783722";"d3ef049";"15.09.2019 20:12";"15.09.2019 20:14";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"100";"Bei keinen";"Es gab keine";"";
"60783793";"a3efb65";"15.09.2019 20:15";"15.09.2019 20:17";"teilgenommen und beendet";"männlich";"zwischen 61 und 67";"";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Notärzte / Notärztinnen";"80";"COPD, NIV-pflichtig";"Überforderung";"";
"60783795";"9c04dcf";"15.09.2019 20:15";"15.09.2019 20:16";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60783875";"37db255";"15.09.2019 20:19";"15.09.2019 20:23";"teilgenommen und beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"0";"Die in der Ausbildung vom Bundesland Hessen vorgeschriebenen und geprüften Algorithmen werden von dem lokalen ÄLRD nicht anerkannt, somit wird kein einziger Algorithmus im realen Einsatz angewendet.";"Der ÄLRD in Kassel möchte das nicht.";"";
"60784087";"c340794";"15.09.2019 20:26";"15.09.2019 20:28";"teilgenommen und beendet";"männlich";"zwischen 51 und 60";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notärzte / Notärztinnen";"100";"Keine";"Keine";"";
"60784106";"c80740b";"15.09.2019 20:27";"15.09.2019 20:28";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60784113";"c7f1df6";"15.09.2019 20:28";"15.09.2019 20:28";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60784134";"7b8d039";"15.09.2019 20:29";"15.09.2019 20:35";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"Rettungsassistenten/-innen";"40";"Anaphylaxie, Hypertensive Krise, Asthma";"ÄLRD untersagt die i.m. Gabe von Suprarenin, i.v. Gabe vorgeschrieben., RR Werte für die Gabe von z.b. Ebrantil sind zu hoch gegriffen, hier erfolgt nach Muster-Algorithmen die Intervention zu spät., Asthma, Algorithmus Hessen ist fachlich falsch, was die gemeinsame Gabe von Salbutamol und Ipratrobiumbromid angeht. Die gemeinsame Gabe wäre kontraindiziert, da es zu einer kumulativen (nicht beherrschbaren) Wirkung käme. Dies ist fachlich falsch, insbesondere da beide Wirkstoffe auch als Kombinationspräparat verfügbar sind.";"";
"60784137";"74b393b";"15.09.2019 20:28";"16.09.2019 05:31";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Rettungsassistenten/-innen";"60";"";"";"";
"60784170";"267c6be";"15.09.2019 20:30";"15.09.2019 20:31";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60784181";"e6c4059";"15.09.2019 20:27";"15.09.2019 20:31";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60784316";"f1b0ec3";"15.09.2019 20:35";"15.09.2019 20:42";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"90";"Unklare Arbeitsdiagnose durch zu viele Begleitsymptome";"Alternativlosigkeit bei Abweichung vom Standart";"";
"60784417";"73cf5fd";"15.09.2019 20:03";"15.09.2019 20:42";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Rettungssanitäter /-innen";"";"";"";"";
