"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Hatten Sie bisher schon Kontakt mit dem Rettungsdienst?";"2. Wie alt sind Sie?";"3. In welcher beruflichen Situation befinden Sie sich?";"4. Auf welche Art und Weise hatten Sie Kontakt mit dem Rettungsdienst?";"5. In welcher Situation haben Sie den Rettungsdienst erlebt?";"6. Wie lange hat der Rettungsdienst aus Ihrer Erinnerung heraus vom Anruf/ Notruf bis zum Eintreffen gebraucht?";"7. Im folgenden Abschnitt können Sie die Fragen mit 'trifft voll zu' bis 'trifft gar nicht zu' beantworten. Die Fragen zielen dabei auf ihre persönliche Wahrnehmung des Einsatzgeschehens &amp; -personals ab.";"Ich habe mich beim Personal sehr gut aufgehoben gefühlt.";"Das Anliegen wurde vom Personal ernst genommen.";"Das Personal war stets freundlich und höflich.";"Das Personal war geduldig.";"Das Personal machte einen fachlich-kompetenten Eindruck auf mich.";"Ich wurde durch den Rettungsdienst gut beraten.";"Man konnte die Krankenhauswahl beeinflussen.";"Das Erscheinungsbild des Rettungsdienstes war gepflegt.";"Mein Gesamteindruck vom Rettungsdienstpersonal war sehr gut.";
"48952523";"e3a28c9";"06.09.2018 14:39";"06.09.2018 14:41";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Zeuge";"Notfalleinsatz";"&gt,15 Min.";"";"1";"1";"1";"2";"1";"1";"3";"1";"1";
"48952530";"d1e3d7b";"06.09.2018 14:39";"06.09.2018 14:41";"teilgenommen und beendet";"ja";"18-30";"Handwerker";"Zeuge";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"1";"1";"1";"1";"2";"2";"1";
"48952533";"d227eae";"06.09.2018 14:39";"06.09.2018 14:42";"teilgenommen und beendet";"ja";"18-30";"Akademiker";"Zeuge";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"2";"2";"2";"2";"5";"2";"2";
"48952535";"e4ac3ef";"06.09.2018 14:39";"06.09.2018 14:40";"teilgenommen und beendet";"ja";"18-30";"Akademiker";"Anrufer";"Hilfeleistung";"0-5 Min.";"";"2";"2";"2";"2";"2";"2";"2";"2";"2";
"48952539";"69cd50c";"06.09.2018 14:39";"06.09.2018 14:41";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Krankentransport";"5-10 Min.";"";"3";"2";"2";"2";"2";"3";"5";"2";"2";
"48952540";"4c96d56";"06.09.2018 14:39";"06.09.2018 14:41";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Patient";"Notfalleinsatz";"5-10 Min.";"";"3";"3";"2";"1";"1";"3";"5";"3";"3";
"48952549";"6008b68";"06.09.2018 14:39";"06.09.2018 14:41";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"3";"2";"1";
"48952552";"ffdbc20";"06.09.2018 14:39";"06.09.2018 14:41";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Notfalleinsatz";"0-5 Min.";"";"";"";"";"";"";"";"";"";"";
"48952571";"c2c1f8c";"06.09.2018 14:40";"06.09.2018 14:41";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Krankentransport";"&gt,15 Min.";"";"2";"2";"2";"2";"2";"2";"5";"2";"2";
"48952582";"38c4f53";"06.09.2018 14:40";"06.09.2018 14:44";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Patient";"Sanitätsdienst/ Veranstaltung";"5-10 Min.";"";"3";"3";"2";"2";"3";"2";"3";"3";"2";
"48952585";"612671e";"06.09.2018 14:40";"06.09.2018 14:43";"teilgenommen, aber noch nicht beendet";"nein";"55-70";"Rentner";"";"";"";"";"";"";"";"";"";"";"";"";"";
"48952597";"56471b8";"06.09.2018 14:40";"06.09.2018 14:46";"teilgenommen und beendet";"ja";"30-55";"Akademiker";"Zeuge";"Sanitätsdienst/ Veranstaltung";"0-5 Min.";"";"1";"1";"1";"1";"1";"1";"5";"1";"1";
"48952598";"24f5d5f";"06.09.2018 14:40";"06.09.2018 14:42";"teilgenommen, aber noch nicht beendet";"ja";"30-55";"Beamter Berufsfeuerwehr";"Notfallsanitäter";"Notfalleinsatz";"10-15 Min.";"";"";"";"";"";"";"";"";"";"";
"48952606";"ff04241";"06.09.2018 14:41";"06.09.2018 14:42";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Freunde im Rettungsdienst";"Notfalleinsatz";"5-10 Min.";"";"1";"2";"2";"1";"1";"2";"2";"2";"1";
"48952609";"89a6603";"06.09.2018 14:41";"06.09.2018 14:42";"teilgenommen und beendet";"ja";"&gt,70";"Rentner";"Patient";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48952611";"e98c401";"06.09.2018 14:41";"06.09.2018 14:42";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Krankentransport";"0-5 Min.";"";"2";"2";"2";"2";"1";"3";"4";"2";"1";
"48952612";"1c60a5e";"06.09.2018 14:41";"06.09.2018 14:44";"teilgenommen und beendet";"ja";"18-30";"Rentner";"Anrufer";"Notfalleinsatz";"0-5 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48952619";"d37413b";"06.09.2018 14:41";"06.09.2018 14:43";"teilgenommen, aber noch nicht beendet";"ja";"&gt,70";"Rentner";"Patient";"Notfalleinsatz";"&gt,15 Min.";"";"";"";"";"";"";"";"";"";"";
"48952652";"c823905";"06.09.2018 14:42";"06.09.2018 14:44";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Ersthelfer bevor der Rettungsdienst kam";"Notfalleinsatz";"10-15 Min.";"";"1";"1";"2";"2";"2";"2";"3";"2";"2";
"48952654";"892a3ad";"06.09.2018 14:42";"06.09.2018 16:29";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"&gt,15 Min.";"";"2";"1";"2";"3";"1";"2";"3";"1";"1";
"48952658";"95d6388";"06.09.2018 14:42";"06.09.2018 14:46";"teilgenommen und beendet";"ja";"18-30";"Akademiker";"Anrufer";"Notfalleinsatz";"10-15 Min.";"";"4";"1";"3";"4";"1";"2";"5";"1";"1";
"48952665";"77188c5";"06.09.2018 14:42";"06.09.2018 14:54";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Angehöriger";"Hilfeleistung";"10-15 Min.";"";"2";"1";"2";"2";"2";"2";"5";"1";"2";
"48952673";"f9f5181";"06.09.2018 14:42";"06.09.2018 14:44";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Notfalleinsatz";"5-10 Min.";"";"2";"1";"2";"2";"2";"2";"3";"2";"2";
"48952678";"db5ca04";"06.09.2018 14:43";"06.09.2018 14:45";"teilgenommen und beendet";"ja";"30-55";"selbstständig";"Patient";"Notfalleinsatz";"0-5 Min.";"";"1";"1";"1";"1";"2";"1";"3";"1";"1";
"48952687";"9508f64";"06.09.2018 14:43";"06.09.2018 14:44";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48952690";"c56b034";"06.09.2018 14:43";"06.09.2018 14:43";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"5-10 Min.";"";"";"";"";"";"";"";"";"";"";
"48952701";"53afbaf";"06.09.2018 14:43";"06.09.2018 14:46";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Notfalleinsatz";"10-15 Min.";"";"2";"1";"1";"2";"3";"2";"5";"2";"2";
"48952706";"c810278";"06.09.2018 14:43";"06.09.2018 14:46";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Patient";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"3";"2";"2";"2";"4";"2";"2";
"48952708";"c0ba17d";"06.09.2018 14:43";"06.09.2018 14:46";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"0-5 Min.";"";"1";"1";"1";"1";"1";"1";"3";"2";"1";
"48952716";"4c4ef25";"06.09.2018 14:44";"06.09.2018 14:45";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Patient";"Notfalleinsatz";"10-15 Min.";"";"1";"1";"1";"1";"1";"1";"2";"1";"1";
"48952719";"2ec6088";"06.09.2018 14:44";"06.09.2018 14:45";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Sanitätsdienst/ Veranstaltung";"10-15 Min.";"";"2";"2";"2";"2";"2";"3";"4";"2";"2";
"48952750";"5c48802";"06.09.2018 14:45";"06.09.2018 14:46";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Schüler/ Student";"Studium Sicherheitstechnik";"Sanitätsdienst/ Veranstaltung";"0-5 Min.";"";"";"";"";"";"";"";"";"";"";
"48952797";"2f8f38a";"06.09.2018 14:46";"06.09.2018 14:48";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Krankentransport";"10-15 Min.";"";"1";"1";"1";"1";"1";"1";"3";"1";"1";
"48952800";"5003d7a";"06.09.2018 14:47";"06.09.2018 14:48";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Angestellter";"Mitarbeiter";"Notfalleinsatz";"0-5 Min.";"";"";"";"";"";"";"";"";"";"";
"48952802";"e417b89";"06.09.2018 14:46";"06.09.2018 14:48";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Patient";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"5";"1";"1";
"48952806";"fccc556";"06.09.2018 14:47";"06.09.2018 14:48";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Arbeite beim Rettubgsdienst";"Notfalleinsatz";"10-15 Min.";"";"1";"1";"1";"1";"1";"1";"2";"1";"1";
"48952810";"535a85c";"06.09.2018 14:47";"06.09.2018 14:48";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Angehöriger";"Notfalleinsatz";"10-15 Min.";"";"2";"2";"2";"3";"2";"2";"4";"2";"2";
"48952813";"71dceae";"06.09.2018 14:47";"06.09.2018 14:49";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Beruflich";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"3";"3";"2";"2";"3";"2";"2";
"48952864";"b425605";"06.09.2018 14:49";"06.09.2018 14:50";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Notfalleinsatz";"10-15 Min.";"";"1";"1";"1";"1";"1";"3";"3";"1";"1";
"48952873";"ca2b073";"06.09.2018 14:49";"06.09.2018 14:51";"teilgenommen und beendet";"ja";"55-70";"Akademiker";"Patient";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"1";"1";"2";"2";"1";"1";"2";
"48952880";"812e98b";"06.09.2018 14:49";"06.09.2018 14:51";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Patient";"Krankentransport";"5-10 Min.";"";"2";"2";"3";"2";"1";"2";"5";"2";"2";
"48952881";"495c282";"06.09.2018 14:49";"06.09.2018 14:51";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Schüler/ Student";"Durch Freiwillige Feuerwehr und Sanitätsdienste";"Notfalleinsatz";"0-5 Min.";"";"";"";"";"";"";"";"";"";"";
"48952884";"f63c6f1";"06.09.2018 14:49";"06.09.2018 14:50";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"ungelernt/ arbeitslos";"Patient";"Notfalleinsatz";"10-15 Min.";"";"";"";"";"";"";"";"";"";"";
"48952888";"ec390fd";"06.09.2018 14:49";"06.09.2018 14:50";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Zeuge";"Notfalleinsatz";"0-5 Min.";"";"2";"2";"2";"2";"2";"2";"5";"1";"1";
"48952890";"a1f5c29";"06.09.2018 14:49";"06.09.2018 14:50";"teilgenommen, aber noch nicht beendet";"ja";"30-55";"Rentner";"Mitarbeiter";"Notfalleinsatz";"5-10 Min.";"";"";"";"";"";"";"";"";"";"";
"48952901";"a043169";"06.09.2018 14:49";"06.09.2018 14:51";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Sanitätsdienst/ Veranstaltung";"5-10 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48952908";"f043810";"06.09.2018 14:50";"06.09.2018 14:52";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Mitarbeiter RD und Ersthelfer";"Alle Kategorien";"5-10 Min.";"";"4";"4";"2";"2";"4";"3";"3";"4";"2";
"48952909";"f9d1580";"06.09.2018 14:50";"06.09.2018 14:51";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Anrufer";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"3";"2";"2";"2";"3";"2";"2";
"48952917";"2dfa2cc";"06.09.2018 14:50";"06.09.2018 14:51";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Schüler/ Student";"FSJ";"mtd";"5-10 Min.";"";"";"";"";"";"";"";"";"";"";
"48952921";"90cd2ea";"06.09.2018 14:50";"06.09.2018 15:11";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Krankentransport";"5-10 Min.";"";"2";"3";"2";"2";"2";"3";"2";"1";"1";
"48952924";"1e04bd8";"06.09.2018 14:50";"06.09.2018 14:52";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Angestellter";"";"";"";"";"";"";"";"";"";"";"";"";"";
