"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Ich bin einverstanden und möchte an der Umfrage teilnehmen.";"2. Welche Ausbildung soll erfasst werden?";"3. Welche tatsächliche Zeit wurde für den fachpraktischen Teil der Prüfung benötigt?";"4. Welche hilfreichen Anmerkungen in Bezug zu den praktischen Teilen der Prüfung Rettungshelferinnen und Rettungshelfer sind wichtig mitzuteilen?";"5. In welchem Bundesland fand die Prüfung der Rettungshelferinnen und Rettungshelfer statt?";"6. Welcher praktischen Teil der Prüfung soll erfasst werden?";"7. Welche tatsächliche Zeit wurde für den Prüfungsteil „Notfallmedizinischen Versorgung“ benötigt?";"8. Welche tatsächliche Zeit wurde für den Prüfungsteil „Herzkreislaufstillstand mit Reanimation“ benötigt?";"9. Welche hilfreichen Anmerkungen in Bezug zu den praktischen Teilen der Prüfung Rettungssanitäterinnen und Rettungssanitäter sind wichtig mitzuteilen?";"10. In welchem Bundesland fand die Prüfung der Rettungssanitäterinnen und Rettungssanitäter statt?";"11. Welcher praktischen Teil der Prüfung soll erfasst werden?";"12. Welche tatsächliche Zeit wurde für den Prüfungsteil „Internistischen Notfälle“ benötigt?";"13. Welche tatsächliche Zeit wurde für den Prüfungsteil „Traumatologischen Notfälle“ benötigt?";"14. Welche tatsächliche Zeit wurde für den Prüfungsteil „Herzkreislaufstillstand mit Reanimation“ benötigt?";"15. Welche tatsächliche Zeit wurde für den Prüfungsteil „Sonstiger Prüfungsfall“ benötigt?";"16. Welche hilfreichen Anmerkungen in Bezug zu den praktischen Teilen der Prüfung Notfallsanitäterinnen und Notfallsanitäter sind wichtig mitzuteilen?";"17. In welchem Bundesland fand die Prüfung der Notfallsanitäterinnen und Notfallsanitäter statt?";
"95068946";"jwk3hwi";"19.03.2023 19:18";"19.03.2023 19:18";"teilgenommen, aber noch nicht beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Internistischen Notfälle";"";"";"";"";"";"";
"95069375";"nwffjks";"19.03.2023 20:25";"19.03.2023 20:25";"teilgenommen, aber noch nicht beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Internistischen Notfälle";"";"";"";"";"";"";
"95069991";"3fajnvg";"19.03.2023 22:15";"19.03.2023 22:16";"teilgenommen und beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Herzkreislaufstillstand mit Reanimation";"";"";"10";"";"";"Baden-Württemberg";
"95070072";"xvvgsvz";"19.03.2023 22:27";"19.03.2023 22:27";"teilgenommen, aber noch nicht beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Sonstiger Prüfungsfall";"";"";"";"";"";"";
"95070274";"y37e4uq";"19.03.2023 23:05";"19.03.2023 23:05";"teilgenommen, aber noch nicht beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"95070653";"d3cwb3k";"20.03.2023 00:32";"20.03.2023 00:32";"teilgenommen, aber noch nicht beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Internistischen Notfälle";"";"";"";"";"";"";
"95071284";"iarxryr";"20.03.2023 08:05";"20.03.2023 08:05";"teilgenommen und beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Internistischen Notfälle";"45";"";"";"";"";"Nordrhein-Westfalen";
"95074579";"7pquaym";"20.03.2023 12:43";"20.03.2023 12:44";"teilgenommen und beendet";"ja";"Rettungssanitäterinnen und Rettungssanitäter";"";"";"";"- Herzkreislaufstillstand mit Reanimation";"";"6";"Rea mit allen Hilfesmitteln";"Nordrhein-Westfalen";"";"";"";"";"";"";"";
"95078666";"hmattrs";"20.03.2023 16:58";"20.03.2023 17:00";"teilgenommen, aber noch nicht beendet";"ja";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"95078774";"g3nbbja";"20.03.2023 17:03";"20.03.2023 17:03";"teilgenommen, aber noch nicht beendet";"ja";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"95079322";"3dmi7az";"20.03.2023 17:35";"20.03.2023 17:35";"teilgenommen und beendet";"nein";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"95091467";"4kysari";"21.03.2023 12:56";"21.03.2023 12:57";"teilgenommen, aber noch nicht beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"95093481";"zhnrwyu";"21.03.2023 14:32";"21.03.2023 14:33";"teilgenommen und beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Internistischen Notfälle";"13";"";"";"";"";"Nordrhein-Westfalen";
"95100682";"3ppscsm";"21.03.2023 22:23";"21.03.2023 22:24";"teilgenommen, aber noch nicht beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Sonstiger Prüfungsfall";"";"";"";"";"";"";
"95114035";"sqs4scc";"22.03.2023 20:56";"22.03.2023 20:57";"teilgenommen, aber noch nicht beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Sonstiger Prüfungsfall";"";"";"";"";"";"";
"95130801";"zxspkhk";"23.03.2023 23:45";"23.03.2023 23:46";"teilgenommen und beendet";"ja";"Rettungshelferinnen und Rettungshelfer";"10";"";"Bayern";"";"";"";"";"";"";"";"";"";"";"";"";
"95130808";"uyuaqyq";"23.03.2023 23:46";"23.03.2023 23:46";"teilgenommen und beendet";"ja";"Rettungssanitäterinnen und Rettungssanitäter";"";"";"";"- Notfallmedizinischen Versorgung";"10";"";"";"Bayern";"";"";"";"";"";"";"";
"95192870";"uhvgtbw";"29.03.2023 14:07";"29.03.2023 14:08";"teilgenommen und beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Internistischen Notfälle";"13";"";"";"";"";"Rheinland-Pfalz";
"95192891";"iptuwf4";"29.03.2023 14:08";"29.03.2023 14:08";"teilgenommen und beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Traumatologischen Notfälle";"";"12";"";"";"";"Rheinland-Pfalz";
"95192902";"z4iapk9";"29.03.2023 14:08";"29.03.2023 14:09";"teilgenommen und beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Herzkreislaufstillstand mit Reanimation";"";"";"14";"";"";"Rheinland-Pfalz";
"95192911";"7hgpr3e";"29.03.2023 14:09";"29.03.2023 14:09";"teilgenommen und beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Sonstiger Prüfungsfall";"";"";"";"10";"";"Rheinland-Pfalz";
"96252845";"stnriqy";"29.06.2023 10:14";"29.06.2023 10:14";"teilgenommen, aber noch nicht beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Sonstiger Prüfungsfall";"";"";"";"";"";"";
