"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Mein Geschlecht...";"2. Mein Lebensalter in Jahren ist...";"3. Das Bundesland in dem ich Prüfungen durchführe ist...";"Baden-Württemberg";"Bayern";"Berlin";"Brandenburg";"Bremen";"Hamburg";"Hessen";"Mecklenburg-Vorpommern";"Niedersachsen";"Nordrhein-Westfalen";"Rheinland-Pfalz";"Saarland";"Sachsen";"Sachsen-Anhalt";"Schleswig-Holstein";"Thüringen";"4. Meine Beschäftigungszeit als Prüfer/in beträgt...";"5. Mein Beschäftigungsverhältnis ist...";"Angestellte/r in der Verwaltung";"Beamte/r in der Verwaltung";"Angestellte/r in einer Rettungsdienstschule";"Honorarkraft";"Textfeld";"6. Meine höchste medizinische Qualifikation ist...";"keine medizinische Qualifikation";"Rettungsassistent/in";"Notfallsanitäter/in";"(Not-) ärztliche Qualifiaktion";"Textfeld";"7. Meine höchste pädagogische Qualifikation ist...";"keine pädagogische Qualifikation";"Lehrrettungsassistent/in";"Praxisanleitende Notfallsanitäter/in";"Bildungswissenschaftler/in, Pädagoge/in, Erziehungswissenschaftler/in";"Textfeld";"8. Meine Tätigkeit als Prüfer/in beträgt...";"9. Die Anzahl meiner Prüfungen ist...";"Ergänzungsprüfungen";"Vollprüfungen";"10. Ich bin als Vorsitz einer Prüfungskommission eingesetzt...";"11. Die Ergänzungsprüfung empfinde ich als...";"12. Den Schwierigkeitsgrad der Ergänzungsprüfungen empfinde ich als...";"13. Den zeitlichen Rahmen der Ergänzungsprüfungen empfinde ich als...";"14. Die inhaltliche Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"15. Die methodische Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"16. Meine Anmerkungen zur Vorbereitung und Durchführung der Ergänzungsprüfungen...";"17. Die Vollprüfungen empfinde ich als...";"18. Den Schwierigkeitsgrad der Vollprüfungen empfinde ich als...";"19. Den zeitlichen Rahmen der Vollprüfungen empfinde ich als...";"20. Die inhaltliche Vorbereitung auf die Vollprüfungen empfinde ich als...";"21. Die methodische Vorbereitung auf die Vollprüfungen empfinde ich als...";"22. Meine Anmerkungen zur Vorbereitung und Durchführung der Vollprüfung...";"23. Nicht bestanden wurden die Ergänzungsprüfungen in den Prüfungsteilen...";"Mündliche Prüfung";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"24. Nicht bestanden wurden die Vollprüfungen in den Prüfungsteilen...";"Schriftliche Prüfung Teil 1";"Schriftliche Prüfung Teil 2";"Schriftliche Prüfung Teil 3";"Mündliche Prüfung";"Praktische Prüfung Teil Reanimation";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"Praktische Prüfung Teil sonstige Notfälle";"25. Welche Gründe haben Ihrer Meinung nach zum Nichtbestehen von Prüfungen geführt?";"26. Nach absolvierter Prüfung erlebe ich die/der/das...";"Fachwissen";"Gewichtung";"Struktur";"Gewichtung";"Verantwortung";"Gewichtung";"Können";"Gewichtung";"Pflichtgefühl";"Gewichtung";"Sorgfalt";"Gewichtung";"Ansehen";"Gewichtung";"-";"Gewichtung";"Selbstreflektion";"Gewichtung";"Pharmazie";"Gewichtung";"d";"Gewichtung";"X";"Gewichtung";"Keine";"Gewichtung";"Sozialkompetenz";"Gewichtung";"Kompetenz";"Gewichtung";"Resignation";"Gewichtung";
"71185908";"609a6b1";"14.06.2020 14:15";"14.06.2020 14:15";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71186005";"d490fbb";"14.06.2020 14:17";"14.06.2020 14:19";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 1 und weniger als 5 Jahren";"";"20";"4";"nein";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71186629";"d3fc968";"14.06.2020 14:34";"14.06.2020 14:34";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71189403";"bd20e5f";"14.06.2020 15:54";"14.06.2020 15:55";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71193914";"7a39da9";"14.06.2020 17:51";"14.06.2020 18:06";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"";"";"Stellv Schulleiter TäRettungsdienstschule";"";"";"";"1";"";"";"";"";"";"";"";"B.A. Medizinpädagogik";"zwischen 1 und weniger als 5 Jahren";"";"0";"20";"nein";"0";"0";"30";"100";"100";"Die Ergänzungsprüfung prüft nicht das tatsächliche geforderte Niveau eines NFS ab. Die Vorbereitung ist allerdings auch nicht dafür ausreichend";"80";"70";"0";"20";"20";"Mir fehlt die Berücksichtigung der Vornoten aus den Ausbildungsjahren in der Notenfindung";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"";"Konzentrationsfehler in erster Linie, Absprachefehler im Team, Fixierungsfehler, nicht ernst nehmen der Prüfung";"";"3";"";"3";"";"2";"";"3";"";"4";"";"1";"";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71196683";"6ad9bcd";"14.06.2020 19:04";"14.06.2020 19:04";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71207211";"db620ff";"14.06.2020 23:23";"14.06.2020 23:27";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 1 und weniger als 5 Jahren";"";"2";"0";"nein";"30";"60";"40";"70";"70";"";"50";"50";"50";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71211775";"abdf241";"15.06.2020 04:04";"15.06.2020 04:04";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71218417";"e36016a";"15.06.2020 09:25";"15.06.2020 09:32";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"weniger als 1 Jahr";"";"10";"10";"nein";"20";"30";"20";"70";"80";"";"60";"80";"20";"10";"0";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"1";"100%";"1";"67%";"3";"67%";"2";"100%";"2";"67%";"1";"67%";"3";"33%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71224436";"6d7997d";"15.06.2020 11:01";"15.06.2020 11:03";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 1 und weniger als 5 Jahren";"";"6";"2";"nein";"20";"60";"50";"50";"40";"";"20";"50";"40";"30";"40";"";"";"";"1";"1";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71225707";"9c1ec54";"15.06.2020 11:18";"15.06.2020 11:19";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71233791";"fc8533b";"15.06.2020 13:11";"15.06.2020 13:19";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"weniger als 1 Jahr";"";"4";"6";"nein";"80";"0";"0";"100";"90";"";"0";"50";"0";"10";"20";"";"";"";"1";"";"";"";"";"";"";"";"";"";"1";"Intern.: Unerfahrenheit mit Medikamenten , Sonstige NF: ungeübte Bereiche nicht abgedeckt in 80h Vorbereitung";"";"2";"0%";"1";"100%";"2";"0%";"2";"67%";"2";"67%";"1";"100%";"2";"33%";"";"";"2";"67%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71247057";"431ebda";"15.06.2020 16:17";"15.06.2020 16:17";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71264200";"0dc0a48";"15.06.2020 21:40";"15.06.2020 21:42";"teilgenommen und beendet";"";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 1 und weniger als 5 Jahren";"";"2";"2";"nein";"20";"10";"0";"0";"30";"";"20";"80";"40";"30";"70";"";"";"";"1";"";"";"";"";"";"";"";"1";"1";"1";"";"";"1";"67%";"1";"33%";"1";"67%";"";"";"1";"33%";"2";"33%";"2";"67%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71343349";"9288c41";"17.06.2020 09:44";"17.06.2020 09:47";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"";"";"";"1";"";"Schulleitung";"";"";"";"1";"";"";"";"";"";"";"";"Dozent in der Erwachsenbildung HSR";"zwischen 5 und weniger als 10 Jahren";"";"25";"15";"ja";"20";"40";"70";"70";"20";"";"30";"70";"30";"0";"0";"";"";"1";"1";"1";"";"1";"1";"1";"1";"1";"1";"1";"1";"";"";"2";"";"1";"";"2";"";"2";"";"2";"";"2";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71883701";"472294c";"30.06.2020 14:45";"30.06.2020 14:48";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 10 und weniger als 15 Jahren";"";"4";"8";"nein";"90";"10";"100";"100";"100";"";"100";"100";"10";"100";"100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"72555306";"34c6958";"18.07.2020 11:16";"18.07.2020 11:42";"teilgenommen und beendet";"weiblich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"Vollzeit (100%)";"";"";"";"";"";"Auszubildende Notfallsanitäterin";"";"";"";"";"";"Rettungssanitäter";"";"1";"";"";"";"";"weniger als 1 Jahr";"";"0";"0";"nein";"50";"50";"50";"50";"50";"";"40";"50";"70";"80";"90";"Jeder Prüfling durfte nur eine Frage schriftlich einreichen an die Dozenten die einen Umfang bis zu 15 Minuten einhalten sollte. Vorbereitet wurde nur die praktische Prüfung im der Prüfungsvorbereitung, zum mündlichen teil wurde ein Schüler vor die gesamte Klasse gesetzt (nur freiwillig und nur 1 unterrichtsstunde) und sollte zu einem Teilgebiet sprechen. Zu Coronazeiten durften wir in der Schule nicht praktisch üben, auch nicht nach dem Unterricht, außer wir würden einen Dozenten selbstständig finden der darauf achtet das wir hinterher desinfizieren. Die Vorprüfung wurde zu Hause selbstständig geschrieben und auch so ausgewertet. Videokonferenz fand auf freiwilliger Basis statt, dennoch hielt sich daran nur eine Dozentin im Fachgebiet 'Recht'. Wir wurden auch 3x wöchentlich nach dem Mittag nach Hause geschickt da die Dozenten nicht mehr wussten was sie mit uns machen sollen, einige Dozenten hatten keine Lust oder Motivation auf praktisches Üben oder laut ihren Aussagen, hätten sie sich nicht darauf vorbereitet.";"";"";"";"";"";"";"";"";"1";"";"";"";"";"Meiner Meinung war alles in Ordnung, ich kann es nicht nachvollziehen wie alle anderen Prüflinge auch die es bei der Wiederholungsprüfung nicht geschafft haben.";"";"3";"";"3";"";"5";"";"3";"";"";"";"3";"";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"73104110";"408c7f1";"06.08.2020 19:47";"06.08.2020 19:53";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Medizinpädagoge B.A.";"zwischen 1 und weniger als 5 Jahren";"";"2";"3";"nein";"20";"20";"40";"50";"40";"Was verstehen Sie unter methodischer Vorbereitung?";"20";"20";"30";"30";"80";"";"";"1";"1";"1";"";"1";"1";"1";"1";"1";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
