"Ich habe die Einverständniserklärung gelesen und stimme der Teilnahme an der Umfrage zu. (n = 3)";"Answer";"Count";"%";"Value";""
"";"Stabilität";"Passt sehr gut";"1";"33.33";"1"
"";"Stabilität";"Passt gut";"0";"0";"2"
"";"Stabilität";"Passt weniger gut";"0";"0";"3"
"";"Stabilität";"Passt  nicht";"2";"66.67";"4"
"";"Stabilität";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"3"
"";"";"Standard Deviation";"";"";"1.41"
"";"";"";"";"";""
"";"Zerbrechlichkeit";"Passt sehr gut";"1";"33.33";"1"
"";"Zerbrechlichkeit";"Passt gut";"0";"0";"2"
"";"Zerbrechlichkeit";"Passt weniger gut";"0";"0";"3"
"";"Zerbrechlichkeit";"Passt  nicht";"2";"66.67";"4"
"";"Zerbrechlichkeit";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"3"
"";"";"Standard Deviation";"";"";"1.41"
"";"";"";"";"";""
"";"Struktur";"Passt sehr gut";"2";"66.67";"1"
"";"Struktur";"Passt gut";"0";"0";"2"
"";"Struktur";"Passt weniger gut";"0";"0";"3"
"";"Struktur";"Passt  nicht";"1";"33.33";"4"
"";"Struktur";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2"
"";"";"Standard Deviation";"";"";"1.41"
"";"";"";"";"";""
"";"Anpassungsfähigkeit
";"Passt sehr gut";"0";"0";"1"
"";"Anpassungsfähigkeit
";"Passt gut";"0";"0";"2"
"";"Anpassungsfähigkeit
";"Passt weniger gut";"1";"33.33";"3"
"";"Anpassungsfähigkeit
";"Passt  nicht";"2";"66.67";"4"
"";"Anpassungsfähigkeit
";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"3.67"
"";"";"Standard Deviation";"";"";"0.47"
"";"";"";"";"";""
"Welche Konzepte passen zu Tautropfen? (n = 3)";"Row";"Answer";"Count";"%";"Value"
"";"Gleichgewicht";"Passt sehr gut";"0";"0";"1"
"";"Gleichgewicht";"Passt gut";"0";"0";"2"
"";"Gleichgewicht";"Passt weniger gut";"1";"33.33";"3"
"";"Gleichgewicht";"Passt  nicht";"2";"66.67";"4"
"";"Gleichgewicht";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"3.67"
"";"";"Standard Deviation";"";"";"0.47"
"";"";"";"";"";""
"";"Ästhetik";"Passt sehr gut";"0";"0";"1"
"";"Ästhetik";"Passt gut";"2";"66.67";"2"
"";"Ästhetik";"Passt weniger gut";"0";"0";"3"
"";"Ästhetik";"Passt  nicht";"1";"33.33";"4"
"";"Ästhetik";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2.67"
"";"";"Standard Deviation";"";"";"0.94"
"";"";"";"";"";""
"";"Balance";"Passt sehr gut";"0";"0";"1"
"";"Balance";"Passt gut";"1";"33.33";"2"
"";"Balance";"Passt weniger gut";"0";"0";"3"
"";"Balance";"Passt  nicht";"2";"66.67";"4"
"";"Balance";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"3.33"
"";"";"Standard Deviation";"";"";"0.94"
"";"";"";"";"";""
"";"Harmonie";"Passt sehr gut";"0";"0";"1"
"";"Harmonie";"Passt gut";"1";"33.33";"2"
"";"Harmonie";"Passt weniger gut";"0";"0";"3"
"";"Harmonie";"Passt  nicht";"2";"66.67";"4"
"";"Harmonie";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"3.33"
"";"";"Standard Deviation";"";"";"0.94"
"";"";"";"";"";""
"";"Ruhe
";"Passt sehr gut";"1";"33.33";"1"
"";"Ruhe
";"Passt gut";"0";"0";"2"
"";"Ruhe
";"Passt weniger gut";"0";"0";"3"
"";"Ruhe
";"Passt  nicht";"2";"66.67";"4"
"";"Ruhe
";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"3"
"";"";"Standard Deviation";"";"";"1.41"
"";"";"";"";"";""
"Welche Konzepte passen zu Baumringen? (n = 3)";"Row";"Answer";"Count";"%";"Value"
"";"Wachstum";"Passt sehr gut";"3";"100";"1"
"";"Wachstum";"Passt gut";"0";"0";"2"
"";"Wachstum";"Passt weniger gut";"0";"0";"3"
"";"Wachstum";"Passt  nicht";"0";"0";"4"
"";"Wachstum";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"1"
"";"";"Standard Deviation";"";"";"0"
"";"";"";"";"";""
"";"Zeit";"Passt sehr gut";"3";"100";"1"
"";"Zeit";"Passt gut";"0";"0";"2"
"";"Zeit";"Passt weniger gut";"0";"0";"3"
"";"Zeit";"Passt  nicht";"0";"0";"4"
"";"Zeit";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"1"
"";"";"Standard Deviation";"";"";"0"
"";"";"";"";"";""
"";"Entwicklung";"Passt sehr gut";"2";"66.67";"1"
"";"Entwicklung";"Passt gut";"1";"33.33";"2"
"";"Entwicklung";"Passt weniger gut";"0";"0";"3"
"";"Entwicklung";"Passt  nicht";"0";"0";"4"
"";"Entwicklung";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"1.33"
"";"";"Standard Deviation";"";"";"0.47"
"";"";"";"";"";""
"";"Reife";"Passt sehr gut";"2";"66.67";"1"
"";"Reife";"Passt gut";"1";"33.33";"2"
"";"Reife";"Passt weniger gut";"0";"0";"3"
"";"Reife";"Passt  nicht";"0";"0";"4"
"";"Reife";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"1.33"
"";"";"Standard Deviation";"";"";"0.47"
"";"";"";"";"";""
"";"Beständigkeit";"Passt sehr gut";"1";"33.33";"1"
"";"Beständigkeit";"Passt gut";"1";"33.33";"2"
"";"Beständigkeit";"Passt weniger gut";"1";"33.33";"3"
"";"Beständigkeit";"Passt  nicht";"0";"0";"4"
"";"Beständigkeit";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2"
"";"";"Standard Deviation";"";"";"0.82"
"";"";"";"";"";""
"Welche Konzepte passen zu Mondphasen? (n = 3)";"Row";"Answer";"Count";"%";"Value"
"";"Zyklus";"Passt sehr gut";"1";"33.33";"1"
"";"Zyklus";"Passt gut";"2";"66.67";"2"
"";"Zyklus";"Passt weniger gut";"0";"0";"3"
"";"Zyklus";"Passt  nicht";"0";"0";"4"
"";"Zyklus";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"1.67"
"";"";"Standard Deviation";"";"";"0.47"
"";"";"";"";"";""
"";"Wandel";"Passt sehr gut";"0";"0";"1"
"";"Wandel";"Passt gut";"1";"33.33";"2"
"";"Wandel";"Passt weniger gut";"1";"33.33";"3"
"";"Wandel";"Passt  nicht";"1";"33.33";"4"
"";"Wandel";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"3"
"";"";"Standard Deviation";"";"";"0.82"
"";"";"";"";"";""
"";"Rhythmus";"Passt sehr gut";"2";"66.67";"1"
"";"Rhythmus";"Passt gut";"0";"0";"2"
"";"Rhythmus";"Passt weniger gut";"1";"33.33";"3"
"";"Rhythmus";"Passt  nicht";"0";"0";"4"
"";"Rhythmus";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"1.67"
"";"";"Standard Deviation";"";"";"0.94"
"";"";"";"";"";""
"";"Beständigkeit";"Passt sehr gut";"2";"66.67";"1"
"";"Beständigkeit";"Passt gut";"0";"0";"2"
"";"Beständigkeit";"Passt weniger gut";"0";"0";"3"
"";"Beständigkeit";"Passt  nicht";"1";"33.33";"4"
"";"Beständigkeit";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2"
"";"";"Standard Deviation";"";"";"1.41"
"";"";"";"";"";""
"";"Orientierung
";"Passt sehr gut";"1";"33.33";"1"
"";"Orientierung
";"Passt gut";"2";"66.67";"2"
"";"Orientierung
";"Passt weniger gut";"0";"0";"3"
"";"Orientierung
";"Passt  nicht";"0";"0";"4"
"";"Orientierung
";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"1.67"
"";"";"Standard Deviation";"";"";"0.47"
"";"";"";"";"";""
"Welche Konzepte passen zu Muschelschalen? (n = 3)";"Row";"Answer";"Count";"%";"Value"
"";"Schutz";"Passt sehr gut";"2";"66.67";"1"
"";"Schutz";"Passt gut";"1";"33.33";"2"
"";"Schutz";"Passt weniger gut";"0";"0";"3"
"";"Schutz";"Passt  nicht";"0";"0";"4"
"";"Schutz";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"1.33"
"";"";"Standard Deviation";"";"";"0.47"
"";"";"";"";"";""
"";"Sicherheit";"Passt sehr gut";"0";"0";"1"
"";"Sicherheit";"Passt gut";"1";"33.33";"2"
"";"Sicherheit";"Passt weniger gut";"2";"66.67";"3"
"";"Sicherheit";"Passt  nicht";"0";"0";"4"
"";"Sicherheit";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2.67"
"";"";"Standard Deviation";"";"";"0.47"
"";"";"";"";"";""
"";"Geborgenheit";"Passt sehr gut";"0";"0";"1"
"";"Geborgenheit";"Passt gut";"1";"33.33";"2"
"";"Geborgenheit";"Passt weniger gut";"1";"33.33";"3"
"";"Geborgenheit";"Passt  nicht";"1";"33.33";"4"
"";"Geborgenheit";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"3"
"";"";"Standard Deviation";"";"";"0.82"
"";"";"";"";"";""
"";"Widerstand";"Passt sehr gut";"1";"33.33";"1"
"";"Widerstand";"Passt gut";"2";"66.67";"2"
"";"Widerstand";"Passt weniger gut";"0";"0";"3"
"";"Widerstand";"Passt  nicht";"0";"0";"4"
"";"Widerstand";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"1.67"
"";"";"Standard Deviation";"";"";"0.47"
"";"";"";"";"";""
"";"Abgrenzung";"Passt sehr gut";"0";"0";"1"
"";"Abgrenzung";"Passt gut";"3";"100";"2"
"";"Abgrenzung";"Passt weniger gut";"0";"0";"3"
"";"Abgrenzung";"Passt  nicht";"0";"0";"4"
"";"Abgrenzung";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2"
"";"";"Standard Deviation";"";"";"0"
"";"";"";"";"";""
"Welche Konzepte passen zu der Verwandlung von einer Raupe zu einem Schmetterling? (n = 3)";"Row";"Answer";"Count";"%";"Value"
"";"Transformation";"Passt sehr gut";"3";"100";"1"
"";"Transformation";"Passt gut";"0";"0";"2"
"";"Transformation";"Passt weniger gut";"0";"0";"3"
"";"Transformation";"Passt  nicht";"0";"0";"4"
"";"Transformation";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"1"
"";"";"Standard Deviation";"";"";"0"
"";"";"";"";"";""
"";"Wandel";"Passt sehr gut";"1";"33.33";"1"
"";"Wandel";"Passt gut";"1";"33.33";"2"
"";"Wandel";"Passt weniger gut";"0";"0";"3"
"";"Wandel";"Passt  nicht";"1";"33.33";"4"
"";"Wandel";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2.33"
"";"";"Standard Deviation";"";"";"1.25"
"";"";"";"";"";""
"";"Metamorphose";"Passt sehr gut";"2";"66.67";"1"
"";"Metamorphose";"Passt gut";"0";"0";"2"
"";"Metamorphose";"Passt weniger gut";"0";"0";"3"
"";"Metamorphose";"Passt  nicht";"0";"0";"4"
"";"Metamorphose";"Keine Antwort";"1";"33.33";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2.33"
"";"";"Standard Deviation";"";"";"1.89"
"";"";"";"";"";""
"";"Neubeginn";"Passt sehr gut";"0";"0";"1"
"";"Neubeginn";"Passt gut";"3";"100";"2"
"";"Neubeginn";"Passt weniger gut";"0";"0";"3"
"";"Neubeginn";"Passt  nicht";"0";"0";"4"
"";"Neubeginn";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2"
"";"";"Standard Deviation";"";"";"0"
"";"";"";"";"";""
"";"Wachstum";"Passt sehr gut";"0";"0";"1"
"";"Wachstum";"Passt gut";"2";"66.67";"2"
"";"Wachstum";"Passt weniger gut";"1";"33.33";"3"
"";"Wachstum";"Passt  nicht";"0";"0";"4"
"";"Wachstum";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2.33"
"";"";"Standard Deviation";"";"";"0.47"
"";"";"";"";"";""
"Welche Konzepte passen Ihrer Meinung nach zu Windbewegungen? (n = 3)";"Row";"Answer";"Count";"%";"Value"
"";"Fluss";"Passt sehr gut";"0";"0";"1"
"";"Fluss";"Passt gut";"1";"33.33";"2"
"";"Fluss";"Passt weniger gut";"2";"66.67";"3"
"";"Fluss";"Passt  nicht";"0";"0";"4"
"";"Fluss";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2.67"
"";"";"Standard Deviation";"";"";"0.47"
"";"";"";"";"";""
"";"Dynamik";"Passt sehr gut";"0";"0";"1"
"";"Dynamik";"Passt gut";"1";"33.33";"2"
"";"Dynamik";"Passt weniger gut";"0";"0";"3"
"";"Dynamik";"Passt  nicht";"2";"66.67";"4"
"";"Dynamik";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"3.33"
"";"";"Standard Deviation";"";"";"0.94"
"";"";"";"";"";""
"";"Freiheit";"Passt sehr gut";"1";"33.33";"1"
"";"Freiheit";"Passt gut";"1";"33.33";"2"
"";"Freiheit";"Passt weniger gut";"1";"33.33";"3"
"";"Freiheit";"Passt  nicht";"0";"0";"4"
"";"Freiheit";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2"
"";"";"Standard Deviation";"";"";"0.82"
"";"";"";"";"";""
"";"Veränderung";"Passt sehr gut";"0";"0";"1"
"";"Veränderung";"Passt gut";"2";"66.67";"2"
"";"Veränderung";"Passt weniger gut";"1";"33.33";"3"
"";"Veränderung";"Passt  nicht";"0";"0";"4"
"";"Veränderung";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2.33"
"";"";"Standard Deviation";"";"";"0.47"
"";"";"";"";"";""
"";"Energie";"Passt sehr gut";"2";"66.67";"1"
"";"Energie";"Passt gut";"1";"33.33";"2"
"";"Energie";"Passt weniger gut";"0";"0";"3"
"";"Energie";"Passt  nicht";"0";"0";"4"
"";"Energie";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"1.33"
"";"";"Standard Deviation";"";"";"0.47"
