"Ich bin mit der Teilnahme am 5DCR-Test einverstanden. (n = 16)";"Answer";"Count";"%";"Value";""
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft nicht zu";"1";"6.25";"2"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"triff eher nicht zu";"2";"12.5";"3"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"weder noch";"2";"12.5";"4"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft eher zu";"7";"43.75";"5"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft zu";"4";"25";"6"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.69"
"";"";"Standard Deviation";"";"";"1.16"
"";"";"";"";"";""
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft nicht zu";"2";"12.5";"2"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"triff eher nicht zu";"4";"25";"3"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"weder noch";"3";"18.75";"4"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft eher zu";"4";"25";"5"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft zu";"2";"12.5";"6"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft voll und ganz zu";"1";"6.25";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.19"
"";"";"Standard Deviation";"";"";"1.42"
"";"";"";"";"";""
"Wie gut können Sie mit stressigen und ungewissen Situationen umgehen? (n = 16)";"Row";"Answer";"Count";"%";"Value"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft gar nicht zu";"9";"56.25";"1"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft nicht zu";"6";"37.5";"2"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"triff eher nicht zu";"1";"6.25";"3"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"weder noch";"0";"0";"4"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft eher zu";"0";"0";"5"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft zu";"0";"0";"6"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"1.5"
"";"";"Standard Deviation";"";"";"0.61"
"";"";"";"";"";""
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft gar nicht zu";"6";"37.5";"1"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft nicht zu";"9";"56.25";"2"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"triff eher nicht zu";"0";"0";"3"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"weder noch";"0";"0";"4"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft eher zu";"0";"0";"5"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft zu";"0";"0";"6"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft voll und ganz zu";"1";"6.25";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"1.94"
"";"";"Standard Deviation";"";"";"1.39"
"";"";"";"";"";""
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft gar nicht zu";"7";"43.75";"1"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft nicht zu";"3";"18.75";"2"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"triff eher nicht zu";"3";"18.75";"3"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"weder noch";"3";"18.75";"4"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft eher zu";"0";"0";"5"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft zu";"0";"0";"6"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"2.13"
"";"";"Standard Deviation";"";"";"1.17"
"";"";"";"";"";""
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft gar nicht zu";"9";"56.25";"1"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft nicht zu";"5";"31.25";"2"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"triff eher nicht zu";"2";"12.5";"3"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"weder noch";"0";"0";"4"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft eher zu";"0";"0";"5"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft zu";"0";"0";"6"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"1.56"
"";"";"Standard Deviation";"";"";"0.7"
"";"";"";"";"";""
"Wie neugierig sind Sie darauf, allgemeine Informationen über andere Menschen zu erfahren? (n = 16)";"Row";"Answer";"Count";"%";"Value"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft nicht zu";"0";"0";"2"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"triff eher nicht zu";"0";"0";"3"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"weder noch";"0";"0";"4"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft eher zu";"4";"25";"5"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft zu";"5";"31.25";"6"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft voll und ganz zu";"7";"43.75";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"6.19"
"";"";"Standard Deviation";"";"";"0.81"
"";"";"";"";"";""
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft nicht zu";"0";"0";"2"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"triff eher nicht zu";"1";"6.25";"3"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"weder noch";"1";"6.25";"4"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft eher zu";"5";"31.25";"5"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft zu";"7";"43.75";"6"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft voll und ganz zu";"2";"12.5";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.5"
"";"";"Standard Deviation";"";"";"1"
"";"";"";"";"";""
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft gar nicht zu";"0";"0";"1"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft nicht zu";"0";"0";"2"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"triff eher nicht zu";"1";"6.25";"3"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"weder noch";"1";"6.25";"4"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft eher zu";"2";"12.5";"5"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft zu";"7";"43.75";"6"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft voll und ganz zu";"5";"31.25";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.88"
"";"";"Standard Deviation";"";"";"1.11"
"";"";"";"";"";""
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft gar nicht zu";"0";"0";"1"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft nicht zu";"1";"6.25";"2"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"triff eher nicht zu";"0";"0";"3"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"weder noch";"2";"12.5";"4"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft eher zu";"2";"12.5";"5"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft zu";"6";"37.5";"6"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft voll und ganz zu";"5";"31.25";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.69"
"";"";"Standard Deviation";"";"";"1.36"
"";"";"";"";"";""
"Wie sehr interessiert es Sie, spezifische und persönliche Informationen über andere Menschen zu erfahren? (n = 16)";"Row";"Answer";"Count";"%";"Value"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft gar nicht zu";"0";"0";"1"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft nicht zu";"2";"12.5";"2"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"triff eher nicht zu";"1";"6.25";"3"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"weder noch";"7";"43.75";"4"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft eher zu";"2";"12.5";"5"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft zu";"4";"25";"6"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.31"
"";"";"Standard Deviation";"";"";"1.26"
"";"";"";"";"";""
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft gar nicht zu";"1";"6.25";"1"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft nicht zu";"4";"25";"2"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"triff eher nicht zu";"6";"37.5";"3"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"weder noch";"2";"12.5";"4"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft eher zu";"2";"12.5";"5"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft zu";"1";"6.25";"6"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"3.19"
"";"";"Standard Deviation";"";"";"1.29"
"";"";"";"";"";""
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft gar nicht zu";"1";"6.25";"1"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft nicht zu";"5";"31.25";"2"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"triff eher nicht zu";"3";"18.75";"3"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"weder noch";"2";"12.5";"4"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft eher zu";"5";"31.25";"5"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft zu";"0";"0";"6"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"3.31"
"";"";"Standard Deviation";"";"";"1.36"
"";"";"";"";"";""
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft gar nicht zu";"2";"12.5";"1"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft nicht zu";"7";"43.75";"2"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"triff eher nicht zu";"1";"6.25";"3"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"weder noch";"2";"12.5";"4"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft eher zu";"4";"25";"5"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft zu";"0";"0";"6"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"2.94"
"";"";"Standard Deviation";"";"";"1.43"
"";"";"";"";"";""
"Wie sehr suchen Sie nach aufregenden und riskanten Erlebnissen? (n = 16)";"Row";"Answer";"Count";"%";"Value"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft nicht zu";"1";"6.25";"2"
"";"Ich finde es aufregend, Risiken einzugehen.";"triff eher nicht zu";"2";"12.5";"3"
"";"Ich finde es aufregend, Risiken einzugehen.";"weder noch";"4";"25";"4"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft eher zu";"3";"18.75";"5"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft zu";"4";"25";"6"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft voll und ganz zu";"2";"12.5";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.81"
"";"";"Standard Deviation";"";"";"1.42"
"";"";"";"";"";""
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft gar nicht zu";"0";"0";"1"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft nicht zu";"0";"0";"2"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"triff eher nicht zu";"3";"18.75";"3"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"weder noch";"0";"0";"4"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft eher zu";"5";"31.25";"5"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft zu";"5";"31.25";"6"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft voll und ganz zu";"3";"18.75";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.31"
"";"";"Standard Deviation";"";"";"1.31"
"";"";"";"";"";""
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft gar nicht zu";"0";"0";"1"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft nicht zu";"0";"0";"2"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"triff eher nicht zu";"1";"6.25";"3"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"weder noch";"7";"43.75";"4"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft eher zu";"2";"12.5";"5"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft zu";"3";"18.75";"6"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft voll und ganz zu";"3";"18.75";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5"
"";"";"Standard Deviation";"";"";"1.27"
"";"";"";"";"";""
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft gar nicht zu";"0";"0";"1"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft nicht zu";"1";"6.25";"2"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"triff eher nicht zu";"3";"18.75";"3"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"weder noch";"5";"31.25";"4"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft eher zu";"5";"31.25";"5"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft zu";"1";"6.25";"6"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft voll und ganz zu";"1";"6.25";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.31"
"";"";"Standard Deviation";"";"";"1.21"
