"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Mein Geschlecht...";"2. Mein Lebensalter in Jahren ist...";"3. Das Bundesland in dem ich Prüfungen durchführe ist...";"Baden-Württemberg";"Bayern";"Berlin";"Brandenburg";"Bremen";"Hamburg";"Hessen";"Mecklenburg-Vorpommern";"Niedersachsen";"Nordrhein-Westfalen";"Rheinland-Pfalz";"Saarland";"Sachsen";"Sachsen-Anhalt";"Schleswig-Holstein";"Thüringen";"4. Meine Beschäftigungszeit als Prüfer/in beträgt...";"5. Mein Beschäftigungsverhältnis ist...";"Angestellte/r in der Verwaltung";"Beamte/r in der Verwaltung";"Angestellte/r in einer Rettungsdienstschule";"Honorarkraft";"Textfeld";"6. Meine höchste medizinische Qualifikation ist...";"keine medizinische Qualifikation";"Rettungsassistent/in";"Notfallsanitäter/in";"(Not-) ärztliche Qualifiaktion";"Textfeld";"7. Meine höchste pädagogische Qualifikation ist...";"keine pädagogische Qualifikation";"Lehrrettungsassistent/in";"Praxisanleitende Notfallsanitäter/in";"Bildungswissenschaftler/in, Pädagoge/in, Erziehungswissenschaftler/in";"Textfeld";"8. Meine Tätigkeit als Prüfer/in beträgt...";"9. Die Anzahl meiner Prüfungen ist...";"Ergänzungsprüfungen";"Vollprüfungen";"10. Ich bin als Vorsitz einer Prüfungskommission eingesetzt...";"11. Die Ergänzungsprüfung empfinde ich als...";"12. Den Schwierigkeitsgrad der Ergänzungsprüfungen empfinde ich als...";"13. Den zeitlichen Rahmen der Ergänzungsprüfungen empfinde ich als...";"14. Die inhaltliche Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"15. Die methodische Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"16. Meine Anmerkungen zur Vorbereitung und Durchführung der Ergänzungsprüfungen...";"17. Die Vollprüfungen empfinde ich als...";"18. Den Schwierigkeitsgrad der Vollprüfungen empfinde ich als...";"19. Den zeitlichen Rahmen der Vollprüfungen empfinde ich als...";"20. Die inhaltliche Vorbereitung auf die Vollprüfungen empfinde ich als...";"21. Die methodische Vorbereitung auf die Vollprüfungen empfinde ich als...";"22. Meine Anmerkungen zur Vorbereitung und Durchführung der Vollprüfung...";"23. Nicht bestanden wurden die Ergänzungsprüfungen in den Prüfungsteilen...";"Mündliche Prüfung";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"24. Nicht bestanden wurden die Vollprüfungen in den Prüfungsteilen...";"Schriftliche Prüfung Teil 1";"Schriftliche Prüfung Teil 2";"Schriftliche Prüfung Teil 3";"Mündliche Prüfung";"Praktische Prüfung Teil Reanimation";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"Praktische Prüfung Teil sonstige Notfälle";"25. Welche Gründe haben Ihrer Meinung nach zum Nichtbestehen von Prüfungen geführt?";"26. Nach absolvierter Prüfung erlebe ich die/der/das...";"Fachwissen";"Gewichtung";"Struktur";"Gewichtung";"Verantwortung";"Gewichtung";"Können";"Gewichtung";"Pflichtgefühl";"Gewichtung";"Sorgfalt";"Gewichtung";"Ansehen";"Gewichtung";"Selbstbewusstsein";"Gewichtung";"NA's wissen Teilweuse nicht was NFS dürfen und Müssen .";"Gewichtung";"Rechtliche Unsicherheit";"Gewichtung";"´habe ich ausversehen angeklickt";"Gewichtung";"qualitative Steigerung Rettungsdienst";"Gewichtung";"glivliv";"Gewichtung";"xytxtx";"Gewichtung";"Aufgaben";"Gewichtung";"Weitblick";"Gewichtung";"keine";"Gewichtung";"....";"Gewichtung";"Methodenkompetenz gesamt";"Gewichtung";"Akzeptanz ggü der Ärzteschaft";"Gewichtung";"haken geht nicht mehr raus";"Gewichtung";"Vorbildfunktion";"Gewichtung";"Kommuniziere";"Gewichtung";"Einkommen";"Gewichtung";"G";"Gewichtung";"Berufliche Qualifikation";"Gewichtung";
"27396200";"e11c5c2";"24.07.2016 03:43";"24.07.2016 03:43";"teilgenommen, aber noch nicht beendet";"ohne Angabe";"zwischen 21 und 30";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396288";"7375a4f";"24.07.2016 04:43";"24.07.2016 04:43";"teilgenommen, aber noch nicht beendet";"";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396427";"fa4fd5a";"24.07.2016 05:56";"24.07.2016 06:00";"teilgenommen und beendet";"";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"1";"";"";"";"";"zwischen 10 und weniger als 15 Jahren";"";"4";"1";"nein";"20";"70";"20";"20";"20";"";"20";"70";"30";"40";"20";"";"";"1";"1";"1";"";"";"";"";"1";"";"1";"1";"";"";"";"2";"67%";"3";"67%";"3";"67%";"2";"67%";"3";"67%";"3";"67%";"2";"67%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396448";"bf38b1e";"24.07.2016 06:04";"24.07.2016 06:08";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Besitzstand mit Zusatzqualifikation";"zwischen 1 und weniger als 5 Jahren";"";"8";"0";"nein";"10";"60";"10";"80";"20";"";"50";"50";"50";"50";"50";"";"";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"2";"100%";"2";"100%";"3";"67%";"1";"100%";"2";"100%";"2";"67%";"3";"67%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396467";"9b5add3";"24.07.2016 06:10";"24.07.2016 06:11";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396468";"ad96642";"24.07.2016 06:10";"24.07.2016 06:11";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"weniger als 1 Jahr";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396473";"9cda173";"24.07.2016 06:12";"24.07.2016 06:13";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396487";"a4fc08f";"24.07.2016 06:18";"24.07.2016 06:24";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 5 und weniger als 10 Jahren";"";"5";"1";"nein";"20";"60";"60";"50";"40";"";"30";"60";"30";"60";"60";"Grundsätzlich als schwieriger, da alle Teile mit mindestens ausreichend bestanden werden müssen. Z.B. Kein Ausgleich einzelner praktischer Teile möglich. Ist für den Prüfling dann sehr frustrierend";"";"";"1";"1";"";"";"";"";"";"";"1";"1";"1";"";"";"2";"67%";"1";"100%";"2";"67%";"2";"67%";"2";"67%";"2";"67%";"2";"67%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396544";"8ca22f6";"24.07.2016 06:42";"24.07.2016 06:44";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"";"1";"";"";"";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 1 und weniger als 5 Jahren";"";"8";"0";"nein";"50";"50";"50";"50";"50";"";"50";"50";"50";"50";"50";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"67%";"2";"67%";"1";"67%";"2";"67%";"2";"67%";"2";"67%";"1";"67%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396578";"546904c";"24.07.2016 06:52";"24.07.2016 06:53";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396600";"4c38067";"24.07.2016 07:01";"24.07.2016 07:02";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396608";"e6f8424";"24.07.2016 07:03";"24.07.2016 07:04";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396610";"0c0e1ca";"24.07.2016 07:03";"24.07.2016 07:05";"teilgenommen, aber noch nicht beendet";"";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 1 und weniger als 5 Jahren";"";"7";"5";"nein";"50";"50";"50";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396634";"f7f99ee";"24.07.2016 07:13";"24.07.2016 07:14";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"";"weniger als 1 Jahr";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396646";"8356c2e";"24.07.2016 07:18";"24.07.2016 07:18";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396652";"77ca0d4";"24.07.2016 07:19";"24.07.2016 07:19";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396673";"d301a5b";"24.07.2016 07:25";"24.07.2016 07:26";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396690";"3500c85";"24.07.2016 07:30";"24.07.2016 07:32";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"weniger als 1 Jahr";"";"0";"0";"nein";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27396703";"b801fef";"24.07.2016 07:34";"24.07.2016 07:35";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 31 und 40";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
