evaluation_number,source_file,timestamp_raw,filled_feedbacks,questions_count,item_index,question_text,n,mean_exported
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,41,Inhalte werden in Diskussionen vertieft.,33,1.878787879
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,42,Ich habe Gelegenheit das Gelernte zu reflektieren.,32,1.878787879
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,43,"In der Diskussion erfahre ich, dass Kollegen andere Sichtweisen zu den behandelten Themen haben.",31,1.757575758
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,44,Ich kenne die Wichtigkeit der einzelnen Themen für unterschiedliche Situationen,31,1.96969697
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,45,"Mir ist klar, wie ich die behandelten Inhalte im Arbeitsalltag anwenden kann.",32,2.545454545
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,46,Was muss in Bezug zur Evaluation dieser beruflicher Handlungssituationen noch gesagt werden?,18,
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,1,Diese Berufliche Handlungssituation gefällt mir generell gut.,35,2.114285714
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,2,Die Lernatmosphäre ist angenehm.,35,1.942857143
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,3,Das Lernen macht mir Spaß.,35,2.085714286
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,4,Ich finde die Bearbeitung für meinen Beruf nützlich.,35,1.771428571
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,5,Zeit in die Bearbeitung zu investieren ist sinnvoll.,35,1.8
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,6,Ich kann die Bearbeitungsinhalte in meinem Beruf anwenden.,35,1.885714286
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,7,Ich ziehe persönlichen Nutzen aus der Bearbeitung.,35,1.942857143
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,8,Die Inhalte sind verständlich.,35,2.142857143
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,9,Die Sprache (Fremd- und Fachwörter) ist verständlich.,35,1.771428571
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,10,ch komme thematisch mit.,35,1.514285714
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,11,Die Zeit ist ausreichend für die bearbeiteten Themen.,35,1.914285714
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,12,"Ich habe den Eindruck, mein Wissen erweitert sich langfristig.",35,2.0
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,13,Ich kann mir die neuen Themen gut merken.,35,2.342857143
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,14,"Ich denke, ich werde auch einige Zeit nach der Bearbeitung noch berichten können, was ich gelernt habe.",35,2.428571429
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,15,Ich werde das Gelernte im beruflichen Alltag anwenden.,35,2.028571429
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,16,"Ich finde es gut, dass die beruflichen Handlungssituationen vermittelt bzw. besprochen werden.",35,1.857142857
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,17,Ich würde die Bearbeitung der Inhalte meinen Kollegen empfehlen.,35,2.285714286
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,18,Es werden zuerst Probleme thematisiert und durch ihre Bearbeitung lerne ich somit die Themen.,34,3.142857143
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,19,Ich kann echte Probleme bearbeiten und darin die zuvor gelernten Inhalte vertiefen.,35,2.914285714
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,20,Es werden wahre Vorfälle aus meinem Arbeitsalltag vorgestellt und durch das selbständige Entwickeln von Lösungen kann ich die Themen vertiefen.,34,2.685714286
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,21,"Es werden Situationen aus dem Arbeitsalltag vorgestellt und ich muss herausfinden, was das mit dem jeweiligen Thema zu tun hat.",34,3.0
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,22,"Es werden problematische Situationen aus dem Arbeitsalltag vorgestellt und ich muss herausfinden, mit welchen Fähigkeiten/welchem Wissen die Situation hätte verbessert werden können.",34,2.714285714
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,23,"In der beruflichen Handlungssituation werden Situationen vorgestellt, die ich dann auf die jeweilige Aufgabe hin genauer betrachte.",34,2.314285714
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,24,Ich kann mein eigenes Wissen in die Bearbeitung mit einbringen.,35,2.114285714
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,25,Auf meine bisherigen Erfahrungen zu den behandelten Themen wird eingegangen.,34,1.771428571
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,26,Ich kann mein berufliches Wissen in die Bearbeitung mit einbringen.,35,2.085714286
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,27,Ich kann meine bisherigen beruflichen Erlebnisse einbringen.,34,2.028571429
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,28,"Die Lernbegleiter*innen fordern mich auf, mein Wissen und meine Erlebnisse bei der Bearbeitung aus dem Berufsalltag einzubringen",35,2.828571429
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,29,Inhalte werden mit konkreten Beispielen erläutert.,35,2.342857143
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,30,Die Lernziele sind mir bekannt.,35,2.114285714
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,31,Die Lernziele werden erreicht.,35,2.171428571
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,32,"Die Lernbegleiter*innen machen deutlich, welches die zentralen Punkte der besprochenen Themen sind.",35,2.685714286
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,33,"Am Anfang der beruflichen Handlungssituation werden die Ziele bekannt gegeben, die mit der Bearbeitung erreicht werden sollten.",34,2.828571429
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,34,Die eingesetzten Medien sind für mein Verständnis hilfreich.,35,1.914285714
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,35,Die eingesetzten Medien sind zur Präsentation der Inhalte geeignet.,35,1.8
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,36,Ich kann das Gelernte bei der Bearbeitung üben.,35,2.457142857
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,37,Ich bekomme bei der Bearbeitung Feedback zu meinem Verhalten / meiner Leistung.,35,2.971428571
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,38,Ich kann das Feedback umsetzen und bei der Bearbeitung an meinem Verhalten / meiner Leistung arbeiten.,33,2.457142857
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,39,"Bei der Bearbeitung habe ich die Möglichkeit, Dinge, die ich später in der Arbeit umsetzen soll, schon einmal auszuprobieren.",35,3.257142857
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,40,"Das Feedback aus der Bearbeitung hilft mir, weiter am Gelernten zu arbeiten.",33,2.685714286
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,41,Inhalte werden in Diskussionen vertieft.,35,1.914285714
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,42,Ich habe Gelegenheit das Gelernte zu reflektieren.,35,2.4
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,43,"In der Diskussion erfahre ich, dass Kollegen andere Sichtweisen zu den behandelten Themen haben.",35,2.114285714
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,44,Ich kenne die Wichtigkeit der einzelnen Themen für unterschiedliche Situationen,35,2.085714286
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,45,"Mir ist klar, wie ich die behandelten Inhalte im Arbeitsalltag anwenden kann.",35,2.2
2,feedback_eigene Evaluation-02.csv,"Sonntag, 9. November 2025, 22:34",35,46,46,Was muss in Bezug zur Evaluation dieser beruflicher Handlungssituationen noch gesagt werden?,10,
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,1,Diese Berufliche Handlungssituation gefällt mir generell gut.,33,2.363636364
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,2,Die Lernatmosphäre ist angenehm.,33,2.060606061
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,3,Das Lernen macht mir Spaß.,33,2.181818182
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,4,Ich finde die Bearbeitung für meinen Beruf nützlich.,32,1.606060606
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,5,Zeit in die Bearbeitung zu investieren ist sinnvoll.,33,1.757575758
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,6,Ich kann die Bearbeitungsinhalte in meinem Beruf anwenden.,33,1.909090909
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,7,Ich ziehe persönlichen Nutzen aus der Bearbeitung.,32,1.696969697
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,8,Die Inhalte sind verständlich.,33,2.121212121
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,9,Die Sprache (Fremd- und Fachwörter) ist verständlich.,33,1.939393939
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,10,ch komme thematisch mit.,33,1.757575758
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,11,Die Zeit ist ausreichend für die bearbeiteten Themen.,33,1.848484848
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,12,"Ich habe den Eindruck, mein Wissen erweitert sich langfristig.",33,2.0
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,13,Ich kann mir die neuen Themen gut merken.,33,2.424242424
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,14,"Ich denke, ich werde auch einige Zeit nach der Bearbeitung noch berichten können, was ich gelernt habe.",33,2.454545455
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,15,Ich werde das Gelernte im beruflichen Alltag anwenden.,33,2.03030303
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,16,"Ich finde es gut, dass die beruflichen Handlungssituationen vermittelt bzw. besprochen werden.",33,1.727272727
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,17,Ich würde die Bearbeitung der Inhalte meinen Kollegen empfehlen.,33,1.96969697
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,18,Es werden zuerst Probleme thematisiert und durch ihre Bearbeitung lerne ich somit die Themen.,33,2.939393939
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,19,Ich kann echte Probleme bearbeiten und darin die zuvor gelernten Inhalte vertiefen.,33,2.606060606
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,20,Es werden wahre Vorfälle aus meinem Arbeitsalltag vorgestellt und durch das selbständige Entwickeln von Lösungen kann ich die Themen vertiefen.,33,2.424242424
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,21,"Es werden Situationen aus dem Arbeitsalltag vorgestellt und ich muss herausfinden, was das mit dem jeweiligen Thema zu tun hat.",33,2.787878788
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,22,"Es werden problematische Situationen aus dem Arbeitsalltag vorgestellt und ich muss herausfinden, mit welchen Fähigkeiten/welchem Wissen die Situation hätte verbessert werden können.",33,2.666666667
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,23,"In der beruflichen Handlungssituation werden Situationen vorgestellt, die ich dann auf die jeweilige Aufgabe hin genauer betrachte.",33,2.696969697
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,24,Ich kann mein eigenes Wissen in die Bearbeitung mit einbringen.,33,2.181818182
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,25,Auf meine bisherigen Erfahrungen zu den behandelten Themen wird eingegangen.,32,2.0
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,26,Ich kann mein berufliches Wissen in die Bearbeitung mit einbringen.,33,2.242424242
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,27,Ich kann meine bisherigen beruflichen Erlebnisse einbringen.,33,2.03030303
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,28,"Die Lernbegleiter*innen fordern mich auf, mein Wissen und meine Erlebnisse bei der Bearbeitung aus dem Berufsalltag einzubringen",33,2.848484848
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,29,Inhalte werden mit konkreten Beispielen erläutert.,33,2.151515152
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,30,Die Lernziele sind mir bekannt.,33,1.939393939
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,31,Die Lernziele werden erreicht.,33,2.121212121
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,32,"Die Lernbegleiter*innen machen deutlich, welches die zentralen Punkte der besprochenen Themen sind.",33,2.666666667
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,33,"Am Anfang der beruflichen Handlungssituation werden die Ziele bekannt gegeben, die mit der Bearbeitung erreicht werden sollten.",33,2.909090909
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,34,Die eingesetzten Medien sind für mein Verständnis hilfreich.,33,1.96969697
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,35,Die eingesetzten Medien sind zur Präsentation der Inhalte geeignet.,33,1.939393939
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,36,Ich kann das Gelernte bei der Bearbeitung üben.,33,2.636363636
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,37,Ich bekomme bei der Bearbeitung Feedback zu meinem Verhalten / meiner Leistung.,33,3.121212121
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,38,Ich kann das Feedback umsetzen und bei der Bearbeitung an meinem Verhalten / meiner Leistung arbeiten.,33,2.848484848
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,39,"Bei der Bearbeitung habe ich die Möglichkeit, Dinge, die ich später in der Arbeit umsetzen soll, schon einmal auszuprobieren.",33,3.333333333
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,40,"Das Feedback aus der Bearbeitung hilft mir, weiter am Gelernten zu arbeiten.",33,2.696969697
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,41,Inhalte werden in Diskussionen vertieft.,33,1.727272727
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,42,Ich habe Gelegenheit das Gelernte zu reflektieren.,33,2.212121212
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,43,"In der Diskussion erfahre ich, dass Kollegen andere Sichtweisen zu den behandelten Themen haben.",33,1.818181818
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,44,Ich kenne die Wichtigkeit der einzelnen Themen für unterschiedliche Situationen,33,1.878787879
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,45,"Mir ist klar, wie ich die behandelten Inhalte im Arbeitsalltag anwenden kann.",33,1.848484848
3,feedback_eigene Evaluation-03.csv,"Sonntag, 9. November 2025, 22:34",33,46,46,Was muss in Bezug zur Evaluation dieser beruflicher Handlungssituationen noch gesagt werden?,11,
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,1,Diese Berufliche Handlungssituation gefällt mir generell gut.,43,2.162790698
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,2,Die Lernatmosphäre ist angenehm.,43,2.372093023
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,3,Das Lernen macht mir Spaß.,43,2.302325581
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,4,Ich finde die Bearbeitung für meinen Beruf nützlich.,43,1.906976744
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,5,Zeit in die Bearbeitung zu investieren ist sinnvoll.,43,2.023255814
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,6,Ich kann die Bearbeitungsinhalte in meinem Beruf anwenden.,43,2.465116279
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,7,Ich ziehe persönlichen Nutzen aus der Bearbeitung.,43,2.255813953
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,8,Die Inhalte sind verständlich.,43,1.76744186
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,9,Die Sprache (Fremd- und Fachwörter) ist verständlich.,43,1.511627907
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,10,ch komme thematisch mit.,43,1.627906977
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,11,Die Zeit ist ausreichend für die bearbeiteten Themen.,43,2.11627907
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,12,"Ich habe den Eindruck, mein Wissen erweitert sich langfristig.",43,2.372093023
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,13,Ich kann mir die neuen Themen gut merken.,43,2.581395349
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,14,"Ich denke, ich werde auch einige Zeit nach der Bearbeitung noch berichten können, was ich gelernt habe.",43,2.627906977
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,15,Ich werde das Gelernte im beruflichen Alltag anwenden.,43,2.534883721
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,16,"Ich finde es gut, dass die beruflichen Handlungssituationen vermittelt bzw. besprochen werden.",43,1.930232558
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,17,Ich würde die Bearbeitung der Inhalte meinen Kollegen empfehlen.,43,2.372093023
4,feedback_eigene Evaluation-04.csv,"Sonntag, 9. November 2025, 22:52",43,46,18,Es werden zuerst Probleme thematisiert und durch ihre Bearbeitung lerne ich somit die Themen.,43,3.581395349
